排名,排名1,学校,总分,星级,办学层次
176,176,江苏师范大学,62.52,3★,区域一流大学
177,177,四川师范大学,62.51,3★,区域一流大学
178,178,陕西科技大学,62.45,3★,区域一流大学
179,179,大连大学,62.44,3★,区域一流大学
180,180,上海海事大学,62.42,4★,中国高水平大学
181,181,辽宁师范大学,62.41,3★,区域一流大学
182,181,沈阳工业大学,62.41,3★,区域一流大学
183,183,东莞理工学院,62.40,3★,区域一流大学
184,183,济南大学,62.40,3★,区域一流大学
185,183,安徽农业大学,62.40,3★,区域一流大学
186,186,青岛科技大学,62.39,3★,区域一流大学
187,187,天津理工大学,62.38,3★,区域一流大学
188,188,上海海洋大学,62.36,4★,中国高水平大学
189,188,中南林业科技大学,62.36,3★,区域一流大学
190,190,天津科技大学,62.35,3★,区域一流大学
191,191,浙江农林大学,62.33,3★,区域一流大学
192,192,武汉工程大学,62.32,3★,区域一流大学
193,192,桂林理工大学,62.32,3★,区域一流大学
194,194,河南工业大学,62.31,3★,区域一流大学
195,195,重庆师范大学,62.30,3★,区域一流大学
196,196,天津财经大学,62.29,4★,中国高水平大学
197,196,大连工业大学,62.29,3★,区域一流大学
198,198,山西财经大学,62.27,3★,区域一流大学
199,198,温州大学,62.27,3★,区域一流大学
200,200,湖南工商大学,62.26,3★,区域一流大学
