学校,省份,类别,排名,总分
清华大学,北京,综合,1,852.5
北京大学,北京,综合,2,746.7
浙江大学,浙江,综合,3,649.2
上海交通大学,上海,综合,4,625.9
南京大学,江苏,综合,5,566.1
复旦大学,上海,综合,6,556.7
中国科学技术大学,安徽,理工,7,526.4
华中科技大学,湖北,综合,8,497.7
武汉大学,湖北,综合,9,488.0
中山大学,广东,综合,10,457.2
西安交通大学,陕西,综合,11,452.5
哈尔滨工业大学,黑龙江,理工,12,450.2
北京航空航天大学,北京,理工,13,445.1
北京师范大学,北京,师范,14,440.9
同济大学,上海,理工,15,439.0
四川大学,四川,综合,16,435.7
东南大学,江苏,综合,17,432.7
中国人民大学,北京,综合,18,409.7
南开大学,天津,综合,19,402.1
北京理工大学,北京,理工,20,395.6
天津大学,天津,理工,21,390.3
山东大学,山东,综合,22,387.9
厦门大学,福建,综合,23,383.3
吉林大学,吉林,综合,24,379.5
华南理工大学,广东,理工,25,379.4
中南大学,湖南,综合,26,378.6
大连理工大学,辽宁,理工,27,365.1
西北工业大学,陕西,理工,28,359.6
华东师范大学,上海,师范,29,358.0
中国农业大学,北京,农业,30,351.5
湖南大学,湖南,综合,31,348.3
电子科技大学,四川,理工,32,334.8
北京科技大学,北京,理工,33,321.8
重庆大学,重庆,综合,34,320.9
南京航空航天大学,江苏,理工,35,319.5
南京理工大学,江苏,理工,36,317.1
东北大学,辽宁,理工,37,314.0
苏州大学,江苏,综合,38,306.8
华中农业大学,湖北,农业,39,300.5
兰州大学,甘肃,综合,40,300.4
西安电子科技大学,陕西,理工,41,299.4
华东理工大学,上海,理工,42,294.6
北京交通大学,北京,理工,43,293.6
华中师范大学,湖北,师范,44,292.4
上海大学,上海,综合,45,290.0
南方科技大学,广东,综合,46,289.0
南京农业大学,江苏,农业,47,283.2
暨南大学,广东,综合,48,282.6
中国海洋大学,山东,综合,49,281.2
南京师范大学,江苏,师范,50,279.9
哈尔滨工程大学,黑龙江,理工,51,279.4
武汉理工大学,湖北,理工,52,277.6
西南交通大学,四川,理工,53,277.3
中国地质大学（武汉）,湖北,理工,54,274.9
北京邮电大学,北京,理工,55,273.7
东北师范大学,吉林,师范,56,272.5
中国石油大学（北京）,北京,理工,57,272.4
河海大学,江苏,理工,58,271.8
江南大学,江苏,综合,59,271.5
中国矿业大学,江苏,理工,60,264.9
西北大学,陕西,综合,61,262.4
上海科技大学,上海,综合,62,261.5
北京工业大学,北京,理工,63,260.5
北京化工大学,北京,理工,64,259.7
