排名,排名1,学校,总分,星级,办学层次
1,1,北京大学,100,8★,世界一流大学
2,2,清华大学,99.37,8★,世界一流大学
3,3,复旦大学,79.63,8★,世界一流大学
4,4,浙江大学,79.59,8★,世界一流大学
5,5,上海交通大学,79.10,8★,世界一流大学
6,6,南京大学,76.05,8★,世界一流大学
7,7,华中科技大学,75.85,8★,世界一流大学
8,8,中国科学技术大学,75.50,8★,世界一流大学
9,9,南开大学,74.42,7★,世界知名高水平大学
10,10,武汉大学,74.41,8★,世界一流大学
11,11,中国人民大学,73.97,8★,世界一流大学
12,12,中山大学,73.63,7★,世界知名高水平大学
13,13,哈尔滨工业大学,73.51,7★,世界知名高水平大学
14,14,西安交通大学,72.84,7★,世界知名高水平大学
15,14,北京师范大学,72.84,7★,世界知名高水平大学
16,15,山东大学,71.33,7★,世界知名高水平大学
17,16,同济大学,70.46,7★,世界知名高水平大学
18,17,北京航空航天大学,69.44,7★,世界知名高水平大学
19,18,四川大学,69.26,7★,世界知名高水平大学
20,19,厦门大学,69.19,7★,世界知名高水平大学
21,20,天津大学,69.13,7★,世界知名高水平大学
22,21,东南大学,68.39,7★,世界知名高水平大学
23,22,西北工业大学,67.48,7★,世界知名高水平大学
24,23,华南理工大学,67.41,6★,世界高水平大学
25,24,北京理工大学,67.32,7★,世界知名高水平大学
26,24,华东师范大学,67.32,6★,世界高水平大学
27,25,吉林大学,67.25,7★,世界知名高水平大学
28,26,大连理工大学,66.62,6★,世界高水平大学
29,27,中南大学,66.61,7★,世界知名高水平大学
30,28,中国农业大学,66.39,7★,世界知名高水平大学
31,29,东北大学,66.38,6★,世界高水平大学
32,29,电子科技大学,66.38,6★,世界高水平大学
33,31,湖南大学,66.31,6★,世界高水平大学
34,32,重庆大学,66.21,6★,世界高水平大学
35,32,北京协和医学院,66.21,7★,世界知名高水平大学
36,33,兰州大学,66.20,6★,世界高水平大学
37,34,北京科技大学,65.15,6★,世界高水平大学
38,35,武汉理工大学,64.86,6★,世界高水平大学
39,36,西南大学,64.82,6★,世界高水平大学
40,37,南京理工大学,64.76,6★,世界高水平大学
41,38,暨南大学,64.67,5★,中国一流大学
42,39,苏州大学,64.58,5★,中国一流大学
43,40,北京交通大学,64.55,5★,中国一流大学
44,41,华东理工大学,64.52,5★,中国一流大学
45,42,华中农业大学,64.44,5★,中国一流大学
46,43,西安电子科技大学,64.29,5★,中国一流大学
47,44,南京农业大学,64.26,5★,中国一流大学
48,45,中国海洋大学,64.03,6★,世界高水平大学
49,46,北京邮电大学,63.93,6★,世界高水平大学
50,47,南昌大学,63.92,5★,中国一流大学
51,47,华中师范大学,63.92,5★,中国一流大学
52,48,华南农业大学,63.87,5★,中国一流大学
53,49,南京航空航天大学,63.85,5★,中国一流大学
54,50,江南大学,63.64,5★,中国一流大学
55,51,中南财经政法大学,63.59,6★,世界高水平大学
56,51,南京师范大学,63.59,5★,中国一流大学
57,52,西北农林科技大学,63.55,5★,中国一流大学
58,53,上海财经大学,63.45,6★,世界高水平大学
59,54,合肥工业大学,63.36,5★,中国一流大学
60,55,北京化工大学,63.23,5★,中国一流大学
61,55,湖南师范大学,63.23,5★,中国一流大学
62,56,南方科技大学,63.21,5★,中国一流大学
63,56,西南交通大学,63.21,5★,中国一流大学
64,58,郑州大学,63.20,5★,中国一流大学
65,58,东北师范大学,63.20,5★,中国一流大学
66,59,对外经济贸易大学,63.01,5★,中国一流大学
67,59,华南师范大学,63.01,5★,中国一流大学
68,60,哈尔滨工程大学,62.99,5★,中国一流大学
69,61,河海大学,62.98,6★,世界高水平大学
70,62,北京工业大学,62.96,4★,中国高水平大学
71,62,燕山大学,62.96,5★,中国一流大学
72,64,西北大学,62.93,5★,中国一流大学
73,65,宁波大学,62.92,5★,中国一流大学
74,66,福州大学,62.91,4★,中国高水平大学
75,66,扬州大学,62.91,5★,中国一流大学
76,68,中国矿业大学,62.90,6★,世界高水平大学
77,69,中国石油大学（北京）,62.89,6★,世界高水平大学
78,69,首都医科大学,62.89,5★,中国一流大学
79,70,北京林业大学,62.84,6★,世界高水平大学
