排名,学校,综合得分,类型
1,北京大学,205.71,综合
2,浙江大学,202.25,综合
3,清华大学,195.90,理工
4,上海交通大学,151.82,综合
5,复旦大学,140.03,综合
6,南京大学,125.67,综合
7,武汉大学,112.17,综合
8,四川大学,111.23,综合
9,中山大学,107.09,综合
10,山东大学,105.88,综合
11,华中科技大学,102.11,理工
12,哈尔滨工业大学,91.12,理工
13,吉林大学,90.93,综合
14,南开大学,84.87,综合
15,西安交通大学,80.54,综合
16,中国科学技术大学,79.28,理工
17,东南大学,78.76,综合
18,中南大学,77.50,综合
19,中国人民大学,72.98,综合
20,厦门大学,69.89,综合
21,华南理工大学,69.62,理工
22,同济大学,68.98,理工
23,大连理工大学,66.80,理工
24,天津大学,66.71,理工
25,北京师范大学,64.98,师范
26,北京航空航天大学,63.70,理工
27,重庆大学,58.76,综合
28,兰州大学,55.90,综合
29,西北工业大学,52.52,理工
30,北京理工大学,50.23,理工
31,中国农业大学,50.01,农业
32,苏州大学,50.00,综合
33,华东师范大学,49.46,师范
34,湖南大学,49.17,综合
35,华东理工大学,49.08,理工
36,南京航空航天大学,42.38,理工
37,郑州大学,39.67,综合
38,华中师范大学,38.87,师范
39,南京农业大学,38.76,农业
40,电子科技大学,37.82,理工
41,西南大学,37.73,综合
42,东北大学,37.54,理工
43,武汉理工大学,37.20,理工
44,上海大学,37.00,综合
45,江南大学,36.19,综合
46,南京理工大学,33.67,理工
47,华中农业大学,33.54,农业
48,西安电子科技大学,33.09,理工
49,东北师范大学,32.87,师范
50,西南交通大学,32.67,理工
51,暨南大学,32.21,综合
52,南京师范大学,32.21,师范
53,北京化工大学,31.91,理工
54,西北农林科技大学,31.88,农业
55,江苏大学,31.82,综合
56,北京科技大学,29.83,理工
57,华南师范大学,29.51,师范
58,北京交通大学,28.93,理工
59,哈尔滨工程大学,28.60,理工
60,东华大学,28.57,理工
61,首都医科大学,27.86,医药
62,西北大学,27.55,综合
63,浙江工业大学,25.88,理工
64,中国海洋大学,25.86,综合
65,河海大学,25.78,理工
66,陕西师范大学,25.60,师范
67,北京工业大学,25.24,理工
68,南昌大学,25.22,综合
69,河南大学,24.74,综合
70,南京工业大学,24.05,理工
71,扬州大学,23.69,综合
72,福州大学,23.22,理工
73,合肥工业大学,22.58,理工
74,湖南师范大学,22.07,综合
75,中国矿业大学,22.06,理工
76,北京邮电大学,22.05,理工
77,华南农业大学,21.52,农林
78,华北电力大学,21.42,理工
79,燕山大学,20.32,理工
80,浙江师范大学,20.21,师范
81,湘潭大学,19.42,综合
82,云南大学,19.27,综合
83,南京医科大学,19.13,医药
84,上海财经大学,19.13,财经
85,山西大学,19.10,综合
86,中南财经政法大学,18.76,财经
87,中国地质大学(武汉),18.56,理工
88,首都师范大学,18.29,师范
89,黑龙江大学,18.22,综合
90,宁波大学,18.18,综合
91,福建师范大学,18.14,师范
92,上海师范大学,18.07,师范
93,河北大学,17.94,综合
94,广西大学,17.47,综合
95,青岛大学,17.37,综合
96,中国药科大学,17.32,医药
97,昆明理工大学,17.18,理工
98,西南财经大学,17.17,财经
99,中国石油大学(华东),16.93,理工
100,长安大学,16.82,理工
101,中国医科大学,16.58,医药
102,南方医科大学,16.39,医药
103,北京林业大学,16.36,林业
104,安徽大学,16.15,综合
105,四川农业大学,16.13,农林
106,山东农业大学,16.12,农业
107,贵州大学,15.91,综合
108,上海理工大学,15.83,理工
109,重庆医科大学,15.81,医药
110,东北林业大学,15.76,林业
111,哈尔滨医科大学,15.22,医药
112,河南师范大学,14.79,师范
113,安徽师范大学,14.68,师范
114,中国传媒大学,14.56,语文
115,中国石油大学(北京),14.56,理工
116,太原理工大学,14.44,理工
117,浙江理工大学,14.32,理工
118,南京信息工程大学,14.24,理工
119,青岛科技大学,14.16,理工
120,中国地质大学(北京),14.10,理工
121,中央财经大学,14.07,财经
122,天津医科大学,14.05,医药
123,西北师范大学,13.99,师范
124,浙江工商大学,13.99,财经
125,深圳大学,13.87,综合
126,东北财经大学,13.62,财经
127,对外经济贸易大学,13.52,财经
128,中国政法大学,13.13,政法
129,山东师范大学,12.94,师范
130,南京邮电大学,12.89,理工
131,广东工业大学,12.87,理工
132,新疆大学,12.81,综合
133,四川师范大学,12.56,师范
134,济南大学,12.44,综合
135,山东科技大学,12.43,理工
136,天津师范大学,12.41,师范
137,西安理工大学,12.30,理工
