排名,学校,综合得分,类型
138,东北农业大学,12.23,农业
139,中央民族大学,12.19,民族
140,南通大学,12.12,综合
141,华侨大学,11.99,综合
142,温州医科大学,11.89,医药
143,中北大学,11.74,理工
144,辽宁大学,11.74,综合
145,江苏师范大学,11.59,师范
146,哈尔滨师范大学,11.47,师范
147,沈阳药科大学,11.44,医药
148,汕头大学,11.41,综合
149,广东外语外贸大学,11.41,语文
150,广西师范大学,11.30,师范
151,杭州电子科技大学,11.27,理工
152,南京林业大学,11.25,林业
153,河北工业大学,11.21,理工
154,广州大学,11.18,综合
155,福建农林大学,11.16,农业
156,河北师范大学,11.06,师范
157,河北农业大学,11.04,农业
158,长沙理工大学,11.04,理工
159,西南政法大学,11.00,政法
160,江西财经大学,11.00,财经
161,大连海事大学,10.99,理工
162,江西师范大学,10.90,师范
163,杭州师范大学,10.87,师范
164,成都理工大学,10.79,理工
165,安徽医科大学,10.72,医药
166,武汉科技大学,10.62,理工
167,湖北大学,10.59,综合
168,河南科技大学,10.52,理工
169,西安建筑科技大学,10.52,理工
170,天津工业大学,10.50,理工
171,山东理工大学,10.49,理工
172,内蒙古大学,10.46,综合
173,陕西科技大学,10.43,理工
174,河南理工大学,10.39,理工
175,河南农业大学,10.24,农业
176,河北医科大学,10.22,医药
177,湖南农业大学,10.21,农业
178,上海外国语大学,10.19,语文
179,北京中医药大学,10.16,医药
180,石河子大学,10.13,综合
181,长春理工大学,9.98,理工
182,聊城大学,9.81,综合
183,温州大学,9.78,综合
184,南京中医药大学,9.76,医药
185,北京外国语大学,9.73,语文
186,天津科技大学,9.69,理工
187,辽宁师范大学,9.65,师范
188,湖南科技大学,9.55,综合
189,中南民族大学,9.54,民族
190,华东政法大学,9.54,政法
191,西南科技大学,9.28,理工
192,重庆邮电大学,9.20,理工
193,中国矿业大学(北京),9.12,理工
194,福建医科大学,8.99,医药
195,哈尔滨理工大学,8.92,理工
196,广州中医药大学,8.92,医药
197,上海中医药大学,8.80,医药
198,兰州理工大学,8.71,理工
199,山东财经大学,8.66,财经
200,烟台大学,8.61,综合
