排名,排名1,学校,类型,地区,总分
52,52,西南大学,师范,重庆,65.64
53,53,中国海洋大学,综合,山东,65.56
54,54,河海大学,理工,江苏,65.50
55,55,解放军信息工程大学,理工,河南,65.49
56,56,南京理工大学,理工,江苏,65.48
57,57,哈尔滨工程大学,理工,黑龙江,65.41
58,58,暨南大学,综合,广东,65.17
59,59,云南大学,综合,云南,65.11
60,60,中国石油大学,理工,山东,65.10
61,61,南京航空航天大学,理工,江苏,65.05
62,62,郑州大学,综合,河南,65.01
63,63,苏州大学,综合,江苏,64.99
64,64,上海财经大学,财经,上海,64.96
65,65,西北农林科技大学,农林,陕西,64.92
66,66,中国政法大学,政法,北京,64.90
67,67,合肥工业大学,理工,安徽,64.88
68,68,北京邮电大学,理工,北京,64.86
69,69,西安电子科技大学,理工,陕西,64.82
70,70,第三军医大学,医药,重庆,64.81
71,71,第二军医大学,医药,上海,64.74
72,72,湖南师范大学,师范,湖南,64.65
73,73,第四军医大学,医药,陕西,64.51
74,74,华南师范大学,师范,广东,64.42
75,75,上海大学,综合,上海,64.41
76,76,中南财经政法大学,财经,湖北,64.32
77,77,西南财经大学,财经,四川,64.27
78,78,北京化工大学,理工,北京,64.26
79,79,东华大学,理工,上海,64.24
80,80,南昌大学,综合,江西,64.18
81,81,解放军理工大学,理工,江苏,64.09
82,82,中央财经大学,财经,北京,63.99
83,83,北京工业大学,理工,北京,63.89
84,83,福州大学,理工,福建,63.89
85,83,广西大学,综合,广西,63.89
86,86,陕西师范大学,师范,陕西,63.88
87,87,深圳大学,综合,广东,63.86
88,88,北京林业大学,农林,北京,63.79
89,89,中央民族大学,民族,北京,63.78
90,90,对外经济贸易大学,财经,北京,63.77
91,90,燕山大学,理工,河北,63.77
92,92,首都师范大学,师范,北京,63.73
93,93,华北电力大学,理工,北京,63.66
94,93,浙江工业大学,理工,浙江,63.66
95,95,华南农业大学,农林,广东,63.64
96,96,浙江师范大学,师范,浙江,63.37
97,97,安徽大学,综合,安徽,63.34
98,98,首都医科大学,医药,北京,63.32
99,99,江南大学,综合,江苏,63.31
100,100,山西大学,综合,山西,63.29
101,101,太原理工大学,理工,山西,63.26
102,101,东北林业大学,农林,黑龙江,63.26
103,101,河南大学,综合,河南,63.26
104,104,福建师范大学,师范,福建,63.24
105,105,杭州电子科技大学,理工,浙江,63.23
106,106,内蒙古大学,综合,内蒙古,63.22
107,107,天津师范大学,师范,天津,63.20
108,107,河北大学,综合,河北,63.20
109,109,南京工业大学,理工,江苏,63.19
110,110,辽宁大学,综合,辽宁,63.18
111,111,新疆大学,综合,新疆,63.17
112,112,南方医科大学,医药,广东,63.16
113,113,上海理工大学,理工,上海,63.11
114,114,海南大学,综合,海南,63.09
115,115,东北财经大学,财经,辽宁,63.05
116,116,昆明理工大学,理工,云南,63.02
117,116,石河子大学,综合,新疆,63.02
118,118,成都理工大学,理工,四川,63.01
119,119,北京中医药大学,医药,北京,62.97
120,120,安徽师范大学,师范,安徽,62.95
121,121,天津医科大学,医药,天津,62.92
122,122,黑龙江大学,综合,黑龙江,62.91
123,123,汕头大学,综合,广东,62.88
124,124,中国药科大学,医药,江苏,62.85
125,124,湘潭大学,综合,湖南,62.85
126,126,江苏大学,综合,江苏,62.83
127,127,贵州大学,综合,贵州,62.79
128,127,扬州大学,综合,江苏,62.79
129,129,西南政法大学,政法,重庆,62.78
130,130,河北工业大学,理工,河北,62.73
131,131,东北农业大学,农林,黑龙江,62.68
132,131,四川农业大学,农林,四川,62.68
133,133,福建农林大学,农林,福建,62.64
134,134,宁波大学,综合,浙江,62.61
135,135,山东师范大学,师范,山东,62.60
136,136,上海师范大学,师范,上海,62.58
137,137,西安建筑科技大学,理工,陕西,62.56
138,138,大连海事大学,理工,辽宁,62.55
139,139,哈尔滨医科大学,医药,黑龙江,62.53
140,140,宁夏大学,综合,宁夏,62.51
141,141,西北师范大学,师范,甘肃,62.46
142,142,湖北大学,综合,湖北,62.42
143,143,西安理工大学,理工,陕西,62.38
144,143,广西师范大学,师范,广西,62.38
145,143,中国医科大学,医药,辽宁,62.38
146,146,南京邮电大学,理工,江苏,62.32
147,146,青岛大学,综合,山东,62.32
148,148,江西师范大学,师范,江西,62.28
149,149,河南农业大学,农林,河南,62.27
150,149,湖南农业大学,农林,湖南,62.27
151,149,河北师范大学,师范,河北,62.27
152,152,江西财经大学,财经,江西,62.26
153,153,首都经济贸易大学,财经,北京,62.23
154,153,长春理工大学,理工,吉林,62.23
155,155,山东农业大学,农林,山东,62.21
156,156,广州中医药大学,医药,广东,62.20
157,157,广东工业大学,理工,广东,62.17
158,157,南京林业大学,农林,江苏,62.17
159,159,重庆医科大学,医药,重庆,62.16
160,159,广东外语外贸大学,语言,广东,62.16
161,161,延边大学,综合,吉林,62.15
162,162,上海中医药大学,医药,上海,62.14
163,162,南京医科大学,医药,江苏,62.14
164,164,华侨大学,综合,福建,62.13
165,165,中北大学,理工,山西,62.12
166,166,山东科技大学,综合,山东,62.11
167,166,西藏大学,综合,西藏,62.11
168,168,长沙理工大学,理工,湖南,62.10
169,168,天津工业大学,理工,天津,62.10
170,170,河南理工大学,理工,河南,62.09
171,171,北京语言大学,语言,北京,62.04
172,172,河北农业大学,农林,河北,62.03
173,173,云南师范大学,师范,云南,62.00
174,174,哈尔滨理工大学,理工,黑龙江,61.99
175,175,武汉科技大学,理工,湖北,61.98
176,176,辽宁工程技术大学,理工,辽宁,61.96
177,176,广州大学,综合,广东,61.96
178,178,兰州交通大学,理工,甘肃,61.94
179,178,河南师范大学,师范,河南,61.94
180,178,南京中医药大学,医药,江苏,61.94
181,181,华东政法大学,政法,上海,61.92
182,182,青岛科技大学,理工,山东,61.89
183,183,东北电力大学,理工,吉林,61.87
184,183,西南石油大学,理工,四川,61.87
185,185,杭州师范大学,师范,浙江,61.86
186,186,青海大学,综合,青海,61.84
187,187,安徽理工大学,理工,安徽,61.83
188,188,浙江理工大学,理工,浙江,61.81
189,189,河南工业大学,理工,河南,61.80
190,190,沈阳农业大学,农林,辽宁,61.79
191,191,东北石油大学,理工,黑龙江,61.77
192,191,中南民族大学,民族,湖北,61.77
193,191,哈尔滨师范大学,师范,黑龙江,61.77
194,194,内蒙古农业大学,农林,内蒙古,61.76
195,194,天津中医药大学,医药,天津,61.76
196,194,温州医科大学,医药,浙江,61.76
197,197,云南民族大学,民族,云南,61.75
198,198,济南大学,综合,山东,61.71
199,199,中国计量学院,理工,浙江,61.70
200,200,浙江工商大学,财经,浙江,61.69
