排名,排名1,学校,类型,地区,总分
1,1,北京大学,综合,北京,100.00
2,2,清华大学,理工,北京,98.50
3,3,复旦大学,综合,上海,82.79
4,4,武汉大学,综合,湖北,82.43
5,5,浙江大学,综合,浙江,82.38
6,6,中国人民大学,综合,北京,81.98
7,7,上海交通大学,综合,上海,81.76
8,8,南京大学,综合,江苏,80.43
9,9,国防科学技术大学,理工,湖南,80.31
10,10,中山大学,综合,广东,76.46
11,11,吉林大学,综合,吉林,76.01
12,12,中国科学技术大学,理工,安徽,75.14
13,13,华中科技大学,理工,湖北,75.12
14,14,四川大学,综合,四川,74.99
15,15,北京师范大学,师范,北京,74.75
16,16,南开大学,综合,天津,74.46
17,17,西安交通大学,综合,陕西,73.56
18,18,中南大学,综合,湖南,73.13
19,19,同济大学,理工,上海,72.85
20,20,天津大学,理工,天津,72.81
21,21,哈尔滨工业大学,理工,黑龙江,72.72
22,21,山东大学,综合,山东,72.72
23,23,厦门大学,综合,福建,72.23
24,24,东南大学,综合,江苏,71.35
25,25,北京航空航天大学,理工,北京,70.58
26,26,东北大学,理工,辽宁,69.55
27,27,重庆大学,综合,重庆,69.54
28,28,华东师范大学,师范,上海,69.52
29,29,大连理工大学,理工,辽宁,68.84
30,30,北京理工大学,理工,北京,68.72
31,31,华南理工大学,理工,广东,68.47
32,32,中国农业大学,农林,北京,68.05
33,33,湖南大学,综合,湖南,68.03
34,34,华中师范大学,师范,湖北,67.92
35,35,西北工业大学,理工,陕西,67.77
36,36,兰州大学,综合,甘肃,67.21
37,37,电子科技大学,理工,四川,66.88
38,38,武汉理工大学,理工,湖北,66.60
39,39,中国地质大学,理工,湖北,66.56
40,40,东北师范大学,师范,吉林,66.50
41,41,北京科技大学,理工,北京,66.42
42,42,中国矿业大学,理工,江苏,66.08
43,42,北京交通大学,理工,北京,66.08
44,42,长安大学,理工,陕西,66.08
45,45,北京协和医学院,医药,北京,66.03
46,46,南京农业大学,农林,江苏,65.90
47,47,西北大学,综合,陕西,65.88
48,48,华东理工大学,理工,上海,65.79
49,49,华中农业大学,农林,湖北,65.77
50,50,南京师范大学,师范,江苏,65.71
51,51,西南交通大学,理工,四川,65.67
