排名,排名1,学校,总分,星级,办学层次
171,124,上海师范大学,61.22,4★,中国高水平大学
172,125,广东工业大学,61.21,4★,中国高水平大学
173,126,中北大学,61.20,4★,中国高水平大学
174,126,河北医科大学,61.20,4★,中国高水平大学
175,127,安徽农业大学,61.19,4★,中国高水平大学
176,128,山东财经大学,61.18,4★,中国高水平大学
177,129,内蒙古大学,61.17,4★,中国高水平大学
178,129,首都经济贸易大学,61.17,4★,中国高水平大学
179,129,温州医科大学,61.17,4★,中国高水平大学
180,129,哈尔滨师范大学,61.17,4★,中国高水平大学
181,129,南京中医药大学,61.17,5★,中国一流大学
182,131,南京邮电大学,61.16,4★,中国高水平大学
183,132,南京信息工程大学,61.15,4★,中国高水平大学
184,133,长沙理工大学,61.14,4★,中国高水平大学
185,133,云南民族大学,61.14,5★,中国一流大学
186,133,天津中医药大学,61.14,5★,中国一流大学
187,135,中南民族大学,61.13,5★,中国一流大学
188,135,北京电影学院,61.13,6★,世界高水平大学
189,136,青岛大学,61.12,4★,中国高水平大学
190,136,北京工商大学,61.12,4★,中国高水平大学
191,138,沈阳农业大学,61.11,3★,区域一流大学
192,138,成都理工大学,61.11,4★,中国高水平大学
193,138,华东政法大学,61.11,4★,中国高水平大学
194,140,东北电力大学,61.10,4★,中国高水平大学
195,140,青岛科技大学,61.10,3★,区域一流大学
196,142,杭州电子科技大学,61.09,4★,中国高水平大学
197,142,山西医科大学,61.09,4★,中国高水平大学
198,143,海南大学,61.08,3★,区域一流大学
199,143,广东外语外贸大学,61.08,4★,中国高水平大学
200,144,长江大学,61.07,3★,区域一流大学
