学校,省份,类别,排名,总分
温州大学,浙江,综合,144,207.9
济南大学,山东,综合,145,206.4
四川农业大学,四川,农业,146,205.8
江苏科技大学,江苏,理工,147,205.7
天津师范大学,天津,师范,148,204.4
沈阳农业大学,辽宁,农业,149,204.3
安徽农业大学,安徽,农业,150,204.1
重庆邮电大学,重庆,理工,151,203.6
浙江农林大学,浙江,林业,152,203.2
辽宁师范大学,辽宁,师范,153,203.0
西北师范大学,甘肃,师范,153,203.0
河南科技大学,河南,综合,155,202.9
武汉工程大学,湖北,理工,156,202.8
石河子大学,新疆,综合,157,201.4
常州大学,江苏,理工,158,200.9
上海海事大学,上海,理工,159,200.1
青岛科技大学,山东,理工,160,199.4
吉林农业大学,吉林,农业,161,199.1
河北师范大学,河北,师范,162,199.0
安徽工业大学,安徽,理工,163,197.5
曲阜师范大学,山东,师范,163,197.5
新疆大学,新疆,综合,163,197.5
天津工业大学,天津,理工,166,196.5
宁夏大学,宁夏,综合,167,194.9
湖南农业大学,湖南,农业,168,194.7
南通大学,江苏,综合,169,193.1
上海海洋大学,上海,农业,170,192.3
广西师范大学,广西,师范,171,192.0
三峡大学,湖北,综合,172,191.4
成都理工大学,四川,理工,173,189.9
长江大学,湖北,综合,174,189.1
山东理工大学,山东,理工,175,187.8
河南理工大学,河南,理工,176,185.7
北方工业大学,北京,理工,177,185.2
江西理工大学,江西,理工,178,184.3
西安科技大学,陕西,理工,179,183.5
集美大学,福建,综合,180,183.3
南昌航空大学,江西,理工,181,183.1
青海大学,青海,综合,182,182.4
石家庄铁道大学,河北,理工,182,182.4
安徽理工大学,安徽,理工,184,181.4
延边大学,吉林,综合,185,181.1
浙江海洋大学,浙江,农业,186,179.4
上海电力大学,上海,理工,187,179.2
中北大学,山西,理工,188,178.9
西藏大学,西藏,综合,189,177.8
重庆交通大学,重庆,理工,190,177.5
河北农业大学,河北,农业,190,177.5
湖南科技大学,湖南,综合,192,177.2
云南师范大学,云南,师范,193,176.9
天津理工大学,天津,理工,194,176.8
哈尔滨师范大学,黑龙江,师范,195,176.0
河南工业大学,河南,理工,196,175.9
天津科技大学,天津,理工,197,175.6
南华大学,湖南,综合,198,175.5
内蒙古农业大学,内蒙古,农业,198,175.5
四川师范大学,四川,师范,200,175.4
