学校,省份,类别,排名,总分
清华大学,北京,综合,1,999.4
北京大学,北京,综合,2,912.5
浙江大学,浙江,综合,3,825.3
上海交通大学,上海,综合,4,783.3
复旦大学,上海,综合,5,697.8
南京大学,江苏,综合,6,683.4
中国科学技术大学,安徽,理工,7,609.9
华中科技大学,湖北,综合,8,609.3
武汉大学,湖北,综合,9,607.1
西安交通大学,陕西,综合,10,570.2
四川大学,四川,综合,11,561.7
中山大学,广东,综合,12,559.4
哈尔滨工业大学,黑龙江,理工,13,549.8
同济大学,上海,理工,14,548.4
北京航空航天大学,北京,理工,15,546.7
东南大学,江苏,综合,16,538.5
北京师范大学,北京,师范,17,534.7
北京理工大学,北京,理工,18,530.9
中国人民大学,北京,综合,19,514.7
南开大学,天津,综合,20,497.4
天津大学,天津,理工,21,490.8
山东大学,山东,综合,22,484.3
中南大学,湖南,综合,23,475.8
西北工业大学,陕西,理工,24,467.9
华南理工大学,广东,理工,25,466.7
厦门大学,福建,综合,26,458.8
吉林大学,吉林,综合,27,450.3
华东师范大学,上海,师范,28,440.7
中国农业大学,北京,农业,29,433.7
电子科技大学,四川,理工,30,432.0
大连理工大学,辽宁,理工,31,426.5
湖南大学,湖南,综合,32,417.5
南京理工大学,江苏,理工,33,398.8
重庆大学,重庆,综合,34,397.2
南方科技大学,广东,综合,35,397.1
北京科技大学,北京,理工,36,393.2
南京航空航天大学,江苏,理工,37,387.1
兰州大学,甘肃,综合,38,377.2
东北大学,辽宁,理工,39,376.8
北京交通大学,北京,理工,40,364.1
西安电子科技大学,陕西,理工,41,362.6
华中农业大学,湖北,农业,42,361.9
苏州大学,江苏,综合,43,361.5
东北师范大学,吉林,师范,44,356.8
华东理工大学,上海,理工,45,352.4
上海大学,上海,综合,46,349.6
暨南大学,广东,综合,47,347.2
中国石油大学（北京）,北京,理工,48,346.4
南京农业大学,江苏,农业,49,345.3
华中师范大学,湖北,师范,50,343.5
郑州大学,河南,综合,51,339.8
西南交通大学,四川,理工,52,336.7
哈尔滨工程大学,黑龙江,理工,53,335.7
中国矿业大学,江苏,理工,54,333.8
上海科技大学,上海,综合,55,332.4
武汉理工大学,湖北,理工,55,332.4
中国海洋大学,山东,综合,57,332.0
中国地质大学（武汉）,湖北,理工,58,329.7
江南大学,江苏,综合,59,329.4
河海大学,江苏,理工,60,329.2
南京师范大学,江苏,师范,61,325.1
北京邮电大学,北京,理工,62,324.7
北京工业大学,北京,理工,63,319.9
北京化工大学,北京,理工,64,318.3
中国石油大学（华东）,山东,理工,65,317.6
浙江工业大学,浙江,理工,66,314.5
西北大学,陕西,综合,67,311.7
深圳大学,广东,综合,68,307.2
西南大学,重庆,综合,69,304.6
中国地质大学（北京）,北京,理工,70,304.3
陕西师范大学,陕西,师范,71,302.5
福州大学,福建,理工,72,297.0
江苏大学,江苏,综合,73,294.8
西北农林科技大学,陕西,农业,74,292.6
南昌大学,江西,综合,75,292.2
华北电力大学,北京,理工,76,289.2
中国矿业大学（北京）,北京,理工,77,288.5
华南师范大学,广东,师范,78,286.8
扬州大学,江苏,综合,79,286.7
东华大学,上海,理工,80,285.5
北京林业大学,北京,林业,81,284.2
云南大学,云南,综合,82,280.6
合肥工业大学,安徽,理工,83,276.3
南京工业大学,江苏,理工,84,275.1
宁波大学,浙江,综合,85,271.0
首都师范大学,北京,师范,86,269.5
福建师范大学,福建,师范,87,268.4
湖南师范大学,湖南,师范,88,265.1
长安大学,陕西,理工,89,261.4
华南农业大学,广东,农业,90,260.5
广州大学,广东,综合,91,258.3
南京邮电大学,江苏,理工,92,257.5
燕山大学,河北,理工,93,257.0
杭州电子科技大学,浙江,理工,94,256.7
安徽大学,安徽,综合,95,254.6
河南大学,河南,综合,95,254.6
南京信息工程大学,江苏,综合,97,254.2
浙江师范大学,浙江,师范,98,253.7
广西大学,广西,综合,99,252.3
上海理工大学,上海,理工,100,251.8
山东师范大学,山东,师范,101,251.0
广东工业大学,广东,理工,102,250.2
河北工业大学,天津,理工,103,249.9
青岛大学,山东,综合,103,249.9
上海师范大学,上海,师范,105,245.1
湘潭大学,湖南,综合,106,243.2
武汉科技大学,湖北,理工,107,242.7
湖北大学,湖北,综合,108,241.6
南京林业大学,江苏,林业,109,239.8
大连海事大学,辽宁,理工,110,239.3
山西大学,山西,综合,111,238.1
浙江理工大学,浙江,理工,112,237.4
太原理工大学,山西,理工,113,235.0
东北林业大学,黑龙江,林业,114,234.4
长沙理工大学,湖南,理工,115,232.9
西安理工大学,陕西,理工,116,229.3
东北农业大学,黑龙江,农业,117,229.0
江西师范大学,江西,师范,118,228.1
内蒙古大学,内蒙古,综合,119,227.3
河北大学,河北,综合,120,226.6
福建农林大学,福建,农业,121,226.4
杭州师范大学,浙江,师范,122,224.4
山东科技大学,山东,综合,123,221.7
西安建筑科技大学,陕西,理工,124,221.6
安徽师范大学,安徽,师范,125,221.1
贵州大学,贵州,综合,125,221.1
辽宁大学,辽宁,综合,127,219.3
河南师范大学,河南,师范,128,218.8
西南石油大学,四川,理工,129,218.4
海南大学,海南,综合,130,216.0
中国计量大学,浙江,理工,131,214.6
陕西科技大学,陕西,理工,132,214.5
北京建筑大学,北京,理工,133,213.0
江苏师范大学,江苏,师范,134,212.5
华侨大学,福建,综合,135,212.0
黑龙江大学,黑龙江,综合,136,211.9
山东农业大学,山东,农业,137,211.7
齐鲁工业大学,山东,理工,138,211.3
昆明理工大学,云南,理工,139,211.2
河南农业大学,河南,农业,140,210.3
汕头大学,广东,综合,141,210.0
长春理工大学,吉林,理工,142,209.7
湖北工业大学,湖北,理工,142,209.7
