排名,排名1,学校,总分,星级,办学层次
1,1,北京大学,100.00,8★,世界一流大学
2,2,清华大学,98.82,8★,世界一流大学
3,3,上海交通大学,79.47,8★,世界一流大学
4,4,浙江大学,79.35,8★,世界一流大学
5,5,华中科技大学,78.32,7★,世界知名高水平大学
6,6,南京大学,78.31,8★,世界一流大学
7,7,西安交通大学,78.28,7★,世界知名高水平大学
8,7,复旦大学,78.28,8★,世界一流大学
9,9,中国科学技术大学,74.06,8★,世界一流大学
10,10,天津大学,73.87,7★,世界知名高水平大学
11,10,吉林大学,73.87,7★,世界知名高水平大学
12,10,北京师范大学,73.87,7★,世界知名高水平大学
13,10,武汉大学,73.87,7★,世界知名高水平大学
14,13,中国人民大学,73.85,8★,世界一流大学
15,14,哈尔滨工业大学,73.69,7★,世界知名高水平大学
16,15,中山大学,73.07,7★,世界知名高水平大学
17,16,南开大学,73.06,7★,世界知名高水平大学
18,17,四川大学,72.59,7★,世界知名高水平大学
19,18,山东大学,72.38,7★,世界知名高水平大学
20,19,北京航空航天大学,72.23,7★,世界知名高水平大学
21,20,厦门大学,70.21,7★,世界知名高水平大学
22,21,同济大学,70.20,7★,世界知名高水平大学
23,22,东南大学,70.19,7★,世界知名高水平大学
24,23,华东师范大学,69.82,6★,世界高水平大学
25,23,大连理工大学,69.82,6★,世界高水平大学
26,24,北京理工大学,68.43,7★,世界知名高水平大学
27,25,西北工业大学,68.06,6★,世界高水平大学
28,26,华南理工大学,67.94,6★,世界高水平大学
29,27,中南大学,67.91,7★,世界知名高水平大学
30,28,中国农业大学,67.05,7★,世界知名高水平大学
31,29,东北大学,66.80,6★,世界高水平大学
32,30,兰州大学,65.19,6★,世界高水平大学
33,31,湖南大学,65.08,6★,世界高水平大学
34,32,北京科技大学,65.06,6★,世界高水平大学
35,33,电子科技大学,64.84,6★,世界高水平大学
36,34,重庆大学,64.81,6★,世界高水平大学
37,35,武汉理工大学,64.31,5★,中国一流大学
38,36,西南大学,64.28,5★,中国一流大学
39,36,华中师范大学,64.28,5★,中国一流大学
40,37,河海大学,64.27,6★,世界高水平大学
41,37,南京理工大学,64.27,6★,世界高水平大学
42,39,华东理工大学,64.26,5★,中国一流大学
43,40,北京交通大学,64.24,5★,中国一流大学
44,41,南京农业大学,64.12,5★,中国一流大学
45,41,南京师范大学,64.12,5★,中国一流大学
46,42,中国海洋大学,63.98,6★,世界高水平大学
47,42,苏州大学,63.98,5★,中国一流大学
48,42,华中农业大学,63.98,6★,世界高水平大学
49,45,西北大学,63.82,5★,中国一流大学
50,46,南京航空航天大学,63.81,5★,中国一流大学
51,47,中南财经政法大学,63.68,6★,世界高水平大学
52,47,西南交通大学,63.68,5★,中国一流大学
53,49,北京邮电大学,63.54,6★,世界高水平大学
54,49,西安电子科技大学,63.54,5★,中国一流大学
55,51,暨南大学,63.51,5★,中国一流大学
56,52,郑州大学,63.50,5★,中国一流大学
57,52,湖南师范大学,63.50,5★,中国一流大学
58,53,合肥工业大学,63.26,5★,中国一流大学
59,54,西北农林科技大学,63.14,5★,中国一流大学
60,55,哈尔滨工程大学,62.89,5★,中国一流大学
61,56,上海财经大学,62.85,6★,世界高水平大学
62,56,东北师范大学,62.85,5★,中国一流大学
63,57,昆明理工大学,62.84,5★,中国一流大学
64,57,深圳大学,62.84,5★,中国一流大学
65,57,云南大学,62.84,5★,中国一流大学
66,57,中国政法大学,62.84,6★,世界高水平大学
67,60,上海大学,62.71,5★,中国一流大学
