排名,学校
1,"清华大学(分数线,专业设置)"
2,"北京大学(分数线,专业设置)"
3,浙江大学
4,上海交通大学
5,复旦大学
6,南京大学
7,武汉大学
8,四川大学
9,华中科技大学
10,吉林大学
11,中山大学
12,山东大学
13,哈尔滨工业大学
14,东南大学
15,中国科学技术大学
16,西安交通大学
17,中南大学
18,南开大学
19,同济大学
20,天津大学
21,"中国人民大学(分数线,专业设置)"
22,北京师范大学
23,华南理工大学
24,北京航空航天大学
25,厦门大学
26,苏州大学
27,大连理工大学
28,重庆大学
29,湖南大学
30,兰州大学
31,华东师范大学
32,北京理工大学
33,西北工业大学
34,华东理工大学
35,中国农业大学
36,郑州大学
37,电子科技大学
38,南京航空航天大学
39,西南大学
40,武汉理工大学
41,江苏大学
42,上海大学
43,南京农业大学
44,华中师范大学
45,南京理工大学
46,西北农林科技大学
47,东北大学
48,北京化工大学
49,西安电子科技大学
50,江南大学
51,西南交通大学
52,华中农业大学
53,南京师范大学
54,哈尔滨工程大学
55,"北京交通大学(分数线,专业设置)"
56,东北师范大学
57,北京科技大学
58,暨南大学
59,华南师范大学
60,华北电力大学
61,河海大学
62,中国海洋大学
63,福州大学
64,扬州大学
65,浙江工业大学
66,西北大学
67,中国矿业大学
68,陕西师范大学
69,南京医科大学
70,首都医科大学
71,河南大学
72,东华大学
73,合肥工业大学
74,南昌大学
75,"北京工业大学(分数线,专业设置)"
76,南京工业大学
77,浙江师范大学
78,华南农业大学
79,北京邮电大学
80,湖南师范大学
81,湘潭大学
82,中南财经政法大学
83,首都师范大学
84,燕山大学
85,中国地质大学（武汉）
86,福建师范大学
87,宁波大学
88,昆明理工大学
89,中国石油大学（华东）
90,青岛大学
91,上海理工大学
92,上海财经大学
93,南京信息工程大学
94,北京林业大学
95,云南大学
96,广西大学
97,山西大学
98,上海师范大学
99,黑龙江大学
100,中国医科大学
101,南方医科大学
102,西南财经大学
103,哈尔滨医科大学
104,安徽大学
105,长安大学
106,南京邮电大学
107,重庆医科大学
108,四川农业大学
109,东北林业大学
110,中国传媒大学
111,济南大学
112,中国药科大学
113,山东农业大学
114,广东工业大学
115,深圳大学
116,浙江理工大学
117,对外经济贸易大学
118,太原理工大学
119,中国石油大学（北京）
120,中国地质大学（北京）
121,贵州大学
122,安徽师范大学
123,河南师范大学
124,西北师范大学
125,中央财经大学
126,河北大学
127,天津医科大学
128,温州医科大学
129,杭州师范大学
130,东北财经大学
131,华侨大学
132,新疆大学
133,中国政法大学
134,南通大学
135,浙江工商大学
136,江苏师范大学
137,山东师范大学
138,哈尔滨师范大学
139,天津师范大学
140,南京中医药大学
141,西安理工大学
142,东北农业大学
143,山东科技大学
144,青岛科技大学
145,杭州电子科技大学
146,江西师范大学
147,河南科技大学
148,江西财经大学
149,广东外语外贸大学
150,南京林业大学
151,河南理工大学
152,四川师范大学
153,西南政法大学
154,天津工业大学
155,大连海事大学
156,温州大学
157,福建农林大学
158,安徽医科大学
159,长沙理工大学
160,武汉科技大学
161,中北大学
162,石河子大学
163,广州大学
164,西安建筑科技大学
165,中央民族大学
166,湖南科技大学
167,三峡大学
168,北京中医药大学
169,辽宁大学
170,河北工业大学
171,山东理工大学
172,上海中医药大学
173,内蒙古大学
174,河北师范大学
175,河南农业大学
176,华东政法大学
177,湖南农业大学
178,河北医科大学
179,兰州理工大学
180,上海外国语大学
181,西南科技大学
182,湖北大学
183,辽宁工程技术大学
184,成都理工大学
185,南华大学
186,哈尔滨理工大学
187,北京外国语大学
188,天津理工大学
189,汕头大学
190,海南大学
191,中南民族大学
192,陕西科技大学
193,广西师范大学
194,重庆邮电大学
195,中国矿业大学（北京）
196,河北农业大学
197,长春理工大学
198,中国计量大学
199,天津科技大学
200,广州中医药大学
