排名,学校
1,清华大学
2,浙江大学
3,北京大学
4,上海交通大学
5,武汉大学
6,南京大学
7,复旦大学
8,华中科技大学
9,四川大学
10,吉林大学
11,中山大学
12,山东大学
13,哈尔滨工业大学
14,中国科学技术大学
15,东南大学
16,西安交通大学
17,中国人民大学
18,中南大学
19,天津大学
20,南开大学
21,同济大学
22,华南理工大学
23,北京师范大学
24,苏州大学
25,北京航空航天大学
26,厦门大学
27,湖南大学
28,大连理工大学
29,重庆大学
30,北京理工大学
31,西北工业大学
32,华东师范大学
33,中国农业大学
34,兰州大学
35,华东理工大学
36,郑州大学
37,南京航空航天大学
38,南京农业大学
39,电子科技大学
40,上海大学
41,江苏大学
42,西北农林科技大学
43,西南大学
44,武汉理工大学
45,南京理工大学
46,北京科技大学
47,江南大学
48,东北大学
49,哈尔滨工程大学
50,北京化工大学
51,华中师范大学
52,华中农业大学
53,南京师范大学
54,西安电子科技大学
55,西南交通大学
56,河海大学
57,暨南大学
58,南京医科大学
59,北京交通大学
60,华北电力大学
61,陕西师范大学
62,东北师范大学
63,南昌大学
64,福州大学
65,浙江工业大学
66,扬州大学
67,首都医科大学
68,华南师范大学
69,合肥工业大学
70,中国矿业大学
71,南京工业大学
72,西北大学
73,中国海洋大学
74,河南大学
75,上海理工大学
76,北京工业大学
77,东华大学
78,北京邮电大学
79,中国石油大学(华东)
80,中国地质大学(武汉)
81,南京信息工程大学
82,华南农业大学
83,宁波大学
84,中南财经政法大学
85,北京林业大学
86,中国医科大学
87,浙江师范大学
88,南方医科大学
89,南京邮电大学
90,燕山大学
91,安徽大学
92,上海财经大学
93,首都师范大学
94,青岛大学
95,昆明理工大学
96,湖南师范大学
97,深圳大学
98,湘潭大学
99,福建师范大学
100,中国石油大学(北京)
101,西南财经大学
102,哈尔滨医科大学
103,中国药科大学
104,中国地质大学(北京)
105,重庆医科大学
106,太原理工大学
107,济南大学
108,温州医科大学
109,对外经济贸易大学
110,山西大学
111,四川农业大学
112,中央财经大学
113,中国传媒大学
114,广西大学
115,广东工业大学
116,上海师范大学
117,天津医科大学
118,浙江理工大学
119,东北林业大学
120,黑龙江大学
121,云南大学
122,南通大学
123,中国政法大学
124,长安大学
125,山东师范大学
126,江苏师范大学
127,山东农业大学
128,西北师范大学
129,东北财经大学
130,河南师范大学
131,华侨大学
132,南京林业大学
133,贵州大学
134,杭州师范大学
135,安徽医科大学
136,东北农业大学
137,安徽师范大学
138,杭州电子科技大学
139,福建农林大学
140,江西师范大学
141,江西财经大学
142,南京中医药大学
143,广东外语外贸大学
144,河南理工大学
145,山东科技大学
146,河北大学
147,武汉科技大学
148,河南科技大学
149,西南政法大学
150,辽宁大学
151,北京中医药大学
152,浙江工商大学
153,西安建筑科技大学
154,中北大学
155,中国矿业大学(北京)
156,常州大学
157,西安理工大学
158,新疆大学
159,青岛科技大学
160,哈尔滨师范大学
161,华东政法大学
162,天津师范大学
163,大连海事大学
164,石河子大学
165,上海中医药大学
166,中央民族大学
167,湖北大学
168,北京外国语大学
169,四川师范大学
170,河北工业大学
171,天津工业大学
172,上海外国语大学
173,海南大学
174,西南石油大学
175,三峡大学
176,湖南农业大学
177,辽宁师范大学
178,曲阜师范大学
179,广州大学
180,陕西科技大学
181,中南民族大学
182,山东理工大学
183,福建医科大学
184,广州中医药大学
185,哈尔滨理工大学
186,辽宁工程技术大学
187,重庆邮电大学
188,大连医科大学
189,河南农业大学
190,广州医科大学
191,沈阳药科大学
192,湖南科技大学
193,西南科技大学
194,山东财经大学
195,长沙理工大学
196,内蒙古大学
197,兰州理工大学
198,成都理工大学
199,中国计量大学
200,河北医科大学
