排名,排名1,学校
1,1,北京大学
2,2,清华大学
3,3,浙江大学
4,4,上海交通大学
5,5,华中科技大学
6,6,南京大学
7,7,复旦大学
8,8,武汉大学
9,9,中国科学技术大学
10,10,哈尔滨工业大学
11,11,中国人民大学
12,12,南开大学
13,13,北京师范大学
14,14,天津大学
15,15,西安交通大学
16,16,山东大学
17,17,中山大学
18,18,北京航空航天大学
19,19,四川大学
20,20,同济大学
21,21,厦门大学
22,22,东南大学
23,23,吉林大学
24,24,西北工业大学
25,25,华南理工大学
26,26,北京理工大学
27,27,华东师范大学
28,28,中南大学
29,29,中国农业大学
30,30,大连理工大学
31,31,兰州大学
32,32,电子科技大学
33,33,湖南大学
34,34,北京科技大学
35,35,北京协和医学院
36,36,重庆大学
37,37,武汉理工大学
38,38,北京交通大学
39,39,华东理工大学
40,40,华中农业大学
41,41,中国海洋大学
42,42,河海大学
43,43,南京理工大学
44,44,西南大学
45,45,苏州大学
46,46,华中师范大学
47,47,东北大学
48,48,南京师范大学
49,49,南京农业大学
50,50,西安电子科技大学
51,51,南京航空航天大学
52,52,合肥工业大学
53,53,北京邮电大学
54,54,哈尔滨工程大学
55,55,暨南大学
56,56,中南财经政法大学
57,57,西南交通大学
58,58,华南农业大学
59,59,西北农林科技大学
60,60,江南大学
61,61,云南大学
62,62,东北师范大学
63,63,郑州大学
64,64,湖南师范大学
65,65,西北大学
66,66,上海财经大学
67,67,昆明理工大学
68,68,深圳大学
69,69,东华大学
70,70,华南师范大学
71,71,燕山大学
72,72,北京化工大学
73,73,上海大学
74,74,宁波大学
75,75,南昌大学
76,76,扬州大学
77,77,北京工业大学
78,78,中国地质大学（武汉）
79,79,中国石油大学（北京）
80,80,首都医科大学
81,81,对外经济贸易大学
82,82,中国政法大学
83,83,中国矿业大学
84,84,陕西师范大学
85,85,上海理工大学
86,86,首都师范大学
87,87,福州大学
88,88,西南财经大学
89,89,江苏大学
90,90,北京林业大学
91,91,福建师范大学
92,92,南京林业大学
93,93,北京外国语大学
94,94,浙江工业大学
95,95,中国石油大学（华东）
96,96,浙江师范大学
97,97,南京工业大学
98,98,河南大学
99,99,武汉科技大学
100,100,中国传媒大学
101,101,中央民族大学
102,102,南方科技大学
103,103,安徽大学
104,104,贵州大学
105,105,山西大学
106,106,河北大学
107,107,齐鲁工业大学
108,108,河南科技大学
109,109,辽宁大学
110,110,长安大学
111,111,中央财经大学
112,112,河南师范大学
113,113,东北财经大学
114,114,太原理工大学
115,115,江西财经大学
116,116,天津工业大学
117,117,福建农林大学
118,118,中国药科大学
119,119,西安建筑科技大学
120,120,湘潭大学
121,121,北京中医药大学
122,122,江西师范大学
123,123,山东师范大学
124,124,山东农业大学
125,125,哈尔滨医科大学
126,126,天津医科大学
127,127,东北农业大学
128,128,中国地质大学（北京）
129,129,黑龙江大学
130,130,东北林业大学
131,131,南方医科大学
132,132,中国矿业大学（北京）
133,133,南京医科大学
134,134,中国医科大学
135,135,四川农业大学
136,136,湖南农业大学
137,137,河北师范大学
138,138,河北工业大学
139,139,北京语言大学
140,140,天津师范大学
141,141,西南石油大学
142,142,上海外国语大学
143,143,上海中医药大学
144,144,西北师范大学
145,145,华北电力大学
146,146,重庆医科大学
147,147,西安理工大学
148,148,天津中医药大学
149,149,浙江理工大学
150,150,南京信息工程大学
151,151,山东科技大学
152,152,安徽师范大学
153,153,北京体育大学
154,154,河北医科大学
155,155,南京中医药大学
156,156,浙江工商大学
157,157,河北农业大学
158,158,华侨大学
159,159,华东政法大学
160,160,外交学院
161,161,广西大学
162,162,南京邮电大学
163,163,山东财经大学
164,164,安徽农业大学
165,165,大连海事大学
166,166,广东工业大学
167,167,沈阳农业大学
168,168,首都经济贸易大学
169,169,长江大学
170,170,广州医科大学
171,171,西南政法大学
172,172,湖北工业大学
173,173,三峡大学
174,174,云南民族大学
175,175,北京电影学院
176,176,广州中医药大学
177,177,山西医科大学
178,178,温州医科大学
179,179,长沙理工大学
180,180,上海师范大学
181,181,广州大学
182,182,湖北大学
183,183,中南民族大学
184,184,中央戏剧学院
185,185,内蒙古大学
186,186,哈尔滨师范大学
187,187,新疆大学
188,188,广东外语外贸大学
189,189,青岛大学
190,190,杭州电子科技大学
191,191,江苏师范大学
192,192,东北电力大学
193,193,东莞理工学院
194,194,海南大学
195,195,河南理工大学
196,196,江西理工大学
197,197,陕西科技大学
198,198,四川师范大学
199,199,云南师范大学
200,200,汕头大学
