排名,学校
1,清华大学
2,北京大学
3,浙江大学
4,上海交通大学
5,武汉大学
6,南京大学
7,华中科技大学
8,复旦大学
9,四川大学
10,吉林大学
11,中山大学
12,山东大学
13,哈尔滨工业大学
14,中国科学技术大学
15,西安交通大学
16,中南大学
17,东南大学
18,中国人民大学
19,同济大学
20,天津大学
21,北京师范大学
22,苏州大学
23,南开大学
24,华南理工大学
25,北京航空航天大学
26,厦门大学
27,湖南大学
28,重庆大学
29,大连理工大学
30,西北工业大学
31,华东师范大学
32,北京理工大学
33,兰州大学
34,中国农业大学
35,郑州大学
36,电子科技大学
37,华东理工大学
38,西北农林科技大学
39,西南大学
40,江苏大学
41,南京航空航天大学
42,武汉理工大学
43,南京农业大学
44,上海大学
45,南京理工大学
46,江南大学
47,东北大学
48,北京化工大学
49,华中师范大学
50,北京科技大学
51,华中农业大学
52,西安电子科技大学
53,哈尔滨工程大学
54,西南交通大学
55,河海大学
56,南京师范大学
57,南京医科大学
58,暨南大学
59,华北电力大学
60,中国矿业大学
61,南昌大学
62,福州大学
63,北京交通大学
64,陕西师范大学
65,扬州大学
66,南京工业大学
67,华南师范大学
68,首都医科大学
69,浙江工业大学
70,东北师范大学
71,合肥工业大学
72,中国海洋大学
73,西北大学
74,北京工业大学
75,河南大学
76,中国石油大学(华东)
77,中国地质大学(武汉)
78,南京信息工程大学
79,上海理工大学
80,宁波大学
81,华南农业大学
82,东华大学
83,南方医科大学
84,北京邮电大学
85,深圳大学
86,北京林业大学
87,青岛大学
88,南京邮电大学
89,浙江师范大学
90,中国医科大学
91,中南财经政法大学
92,燕山大学
93,中国石油大学(北京)
94,昆明理工大学
95,湖南师范大学
96,上海财经大学
97,哈尔滨医科大学
98,安徽大学
99,温州医科大学
100,中国药科大学
101,四川农业大学
102,济南大学
103,太原理工大学
104,中国地质大学(北京)
105,重庆医科大学
106,山西大学
107,西南财经大学
108,湘潭大学
109,首都师范大学
110,福建师范大学
111,中央财经大学
112,南京林业大学
113,山东师范大学
114,南通大学
115,广东工业大学
116,江苏师范大学
117,天津医科大学
118,浙江理工大学
119,对外经济贸易大学
120,河南师范大学
121,长安大学
122,中国政法大学
123,东北林业大学
124,上海师范大学
125,云南大学
126,广西大学
127,山东农业大学
128,西北师范大学
129,福建农林大学
130,江西师范大学
131,山东科技大学
132,黑龙江大学
133,贵州大学
134,安徽医科大学
135,东北农业大学
136,杭州电子科技大学
137,河南科技大学
138,江西财经大学
139,南京中医药大学
140,安徽师范大学
141,中国传媒大学
142,杭州师范大学
143,武汉科技大学
144,华侨大学
145,北京中医药大学
146,广州大学
147,曲阜师范大学
148,河南理工大学
149,西安建筑科技大学
150,常州大学
151,华东政法大学
152,河北大学
153,东北财经大学
154,中北大学
155,西安理工大学
156,青岛科技大学
157,西南政法大学
158,河北工业大学
159,西南石油大学
160,石河子大学
161,湖北大学
162,中国矿业大学(北京)
163,辽宁大学
164,四川师范大学
165,广东外语外贸大学
166,上海中医药大学
167,大连海事大学
168,大连医科大学
169,新疆大学
170,福建医科大学
171,中央民族大学
172,天津工业大学
173,三峡大学
174,天津师范大学
175,浙江工商大学
176,海南大学
177,山东理工大学
178,陕西科技大学
179,哈尔滨师范大学
180,西南科技大学
181,广州医科大学
182,兰州理工大学
183,辽宁师范大学
184,湖南农业大学
185,北京外国语大学
186,沈阳药科大学
187,山东财经大学
188,哈尔滨理工大学
189,长沙理工大学
190,中南民族大学
191,重庆邮电大学
192,广州中医药大学
193,河北医科大学
194,中国计量大学
195,江苏科技大学
196,湖南科技大学
197,青岛农业大学
198,成都理工大学
199,河南农业大学
200,内蒙古大学
