排名,学校
1,清华大学
2,北京大学
3,浙江大学
4,上海交通大学
5,武汉大学
6,南京大学
7,华中科技大学
8,复旦大学
9,四川大学
10,吉林大学
11,中山大学
12,山东大学
13,哈尔滨工业大学
14,西安交通大学
15,中南大学
16,中国科学技术大学
17,东南大学
18,中国人民大学
19,天津大学
20,华南理工大学
21,同济大学
22,苏州大学
23,北京师范大学
24,北京航空航天大学
25,湖南大学
26,南开大学
27,重庆大学
28,厦门大学
29,西北工业大学
30,大连理工大学
31,华东师范大学
32,北京理工大学
33,郑州大学
34,电子科技大学
35,兰州大学
36,中国农业大学
37,西南大学
38,江苏大学
39,武汉理工大学
40,西北农林科技大学
41,上海大学
42,南京航空航天大学
43,南京理工大学
44,东北大学
45,江南大学
46,华东理工大学
47,南京农业大学
48,北京科技大学
49,华中师范大学
50,西南交通大学
51,哈尔滨工程大学
52,西安电子科技大学
53,河海大学
54,华北电力大学
55,南京师范大学
56,暨南大学
57,北京化工大学
58,南昌大学
59,华中农业大学
60,北京交通大学
61,南京医科大学
62,福州大学
63,陕西师范大学
64,中国矿业大学
65,扬州大学
66,合肥工业大学
67,南京工业大学
68,浙江工业大学
69,首都医科大学
70,北京工业大学
71,河南大学
72,华南师范大学
73,深圳大学
74,西北大学
75,东北师范大学
76,中国海洋大学
77,南京信息工程大学
78,青岛大学
79,中国地质大学(武汉)
80,华南农业大学
81,中国石油大学(华东)
82,上海理工大学
83,南方医科大学
84,宁波大学
85,北京邮电大学
86,燕山大学
87,中国医科大学
88,北京林业大学
89,南京邮电大学
90,中南财经政法大学
91,昆明理工大学
92,浙江师范大学
93,南京林业大学
94,东华大学
95,温州医科大学
96,湖南师范大学
97,四川农业大学
98,太原理工大学
99,中国石油大学(北京)
100,上海财经大学
101,重庆医科大学
102,西南财经大学
103,安徽大学
104,湘潭大学
105,山西大学
106,山东师范大学
107,济南大学
108,南通大学
109,哈尔滨医科大学
110,中国药科大学
111,广东工业大学
112,中国地质大学(北京)
113,对外经济贸易大学
114,长安大学
115,首都师范大学
116,中央财经大学
117,福建师范大学
118,广西大学
119,江苏师范大学
120,山东科技大学
121,贵州大学
122,中国政法大学
123,天津医科大学
124,东北林业大学
125,河南师范大学
126,浙江理工大学
127,云南大学
128,上海师范大学
129,南京中医药大学
130,江西师范大学
131,黑龙江大学
132,福建农林大学
133,山东农业大学
134,河南科技大学
135,西北师范大学
136,东北农业大学
137,广州大学
138,安徽医科大学
139,武汉科技大学
140,西南石油大学
141,河南理工大学
142,杭州电子科技大学
143,曲阜师范大学
144,河北大学
145,江西财经大学
146,河北工业大学
147,四川师范大学
148,华侨大学
149,安徽师范大学
150,西安理工大学
151,西南政法大学
152,西安建筑科技大学
153,华东政法大学
154,东北财经大学
155,石河子大学
156,中北大学
157,北京中医药大学
158,青岛科技大学
159,新疆大学
160,辽宁大学
161,大连海事大学
162,广州中医药大学
163,湖北大学
164,中国矿业大学(北京)
165,杭州师范大学
166,广州医科大学
167,西南科技大学
168,常州大学
169,中国传媒大学
170,哈尔滨理工大学
171,福建医科大学
172,广东外语外贸大学
173,三峡大学
174,海南大学
175,上海中医药大学
176,山东理工大学
177,大连医科大学
178,湖南农业大学
179,兰州理工大学
180,天津工业大学
181,长沙理工大学
182,天津师范大学
183,浙江工商大学
184,成都理工大学
185,陕西科技大学
186,山东财经大学
187,重庆邮电大学
188,湖南科技大学
189,中央民族大学
190,河南农业大学
191,广西师范大学
192,河北医科大学
193,中南民族大学
194,辽宁师范大学
195,哈尔滨师范大学
196,青岛农业大学
197,长江大学
198,江苏科技大学
199,温州大学
200,北京外国语大学
