排名,学校
1,北京大学
2,浙江大学
3,清华大学
4,上海交通大学
5,复旦大学
6,南京大学
7,武汉大学
8,四川大学
9,中山大学
10,山东大学
11,华中科技大学
12,哈尔滨工业大学
13,吉林大学
14,南开大学
15,西安交通大学
16,中国科学技术大学
17,东南大学
18,中南大学
19,中国人民大学
20,厦门大学
21,华南理工大学
22,同济大学
23,大连理工大学
24,天津大学
25,北京师范大学
26,北京航空航天大学
27,重庆大学
28,兰州大学
29,西北工业大学
30,北京理工大学
31,中国农业大学
32,苏州大学
33,华东师范大学
34,湖南大学
35,华东理工大学
36,南京航空航天大学
37,郑州大学
38,华中师范大学
39,南京农业大学
40,电子科技大学
41,西南大学
42,东北大学
43,武汉理工大学
44,上海大学
45,江南大学
46,南京理工大学
47,华中农业大学
48,西安电子科技大学
49,东北师范大学
50,西南交通大学
51,暨南大学
52,南京师范大学
53,北京化工大学
54,西北农林科技大学
55,江苏大学
56,北京科技大学
57,华南师范大学
58,北京交通大学
59,哈尔滨工程大学
60,东华大学
61,首都医科大学
62,西北大学
63,浙江工业大学
64,中国海洋大学
65,河海大学
66,陕西师范大学
67,北京工业大学
68,南昌大学
69,河南大学
70,南京工业大学
71,扬州大学
72,福州大学
73,合肥工业大学
74,湖南师范大学
75,中国矿业大学
76,北京邮电大学
77,华南农业大学
78,华北电力大学
79,燕山大学
80,浙江师范大学
81,湘潭大学
82,云南大学
83,南京医科大学
84,上海财经大学
85,山西大学
86,中南财经政法大学
87,中国地质大学(武汉)
88,首都师范大学
89,黑龙江大学
90,宁波大学
91,福建师范大学
92,上海师范大学
93,河北大学
94,广西大学
95,青岛大学
96,中国药科大学
97,昆明理工大学
98,西南财经大学
99,中国石油大学(华东)
100,长安大学
101,中国医科大学
102,南方医科大学
103,北京林业大学
104,安徽大学
105,四川农业大学
106,山东农业大学
107,贵州大学
108,上海理工大学
109,重庆医科大学
110,东北林业大学
111,哈尔滨医科大学
112,河南师范大学
113,安徽师范大学
114,中国传媒大学
115,中国石油大学(北京)
116,太原理工大学
117,浙江理工大学
118,南京信息工程大学
119,青岛科技大学
120,中国地质大学(北京)
121,中央财经大学
122,天津医科大学
123,西北师范大学
124,浙江工商大学
125,深圳大学
126,东北财经大学
127,对外经济贸易大学
128,中国政法大学
129,山东师范大学
130,南京邮电大学
131,广东工业大学
132,新疆大学
133,四川师范大学
134,济南大学
135,山东科技大学
136,天津师范大学
137,西安理工大学
138,东北农业大学
139,中央民族大学
140,南通大学
141,华侨大学
142,温州医科大学
143,中北大学
144,辽宁大学
145,江苏师范大学
146,哈尔滨师范大学
147,沈阳药科大学
148,汕头大学
149,广东外语外贸大学
150,广西师范大学
151,杭州电子科技大学
152,南京林业大学
153,河北工业大学
154,广州大学
155,福建农林大学
156,河北师范大学
157,河北农业大学
158,长沙理工大学
159,西南政法大学
160,江西财经大学
161,大连海事大学
162,江西师范大学
163,杭州师范大学
164,成都理工大学
165,安徽医科大学
166,武汉科技大学
167,湖北大学
168,河南科技大学
169,西安建筑科技大学
170,天津工业大学
171,山东理工大学
172,内蒙古大学
173,陕西科技大学
174,河南理工大学
175,河南农业大学
176,河北医科大学
177,湖南农业大学
178,上海外国语大学
179,北京中医药大学
180,石河子大学
181,长春理工大学
182,聊城大学
183,温州大学
184,南京中医药大学
185,北京外国语大学
186,天津科技大学
187,辽宁师范大学
188,湖南科技大学
189,中南民族大学
190,华东政法大学
191,西南科技大学
192,重庆邮电大学
193,中国矿业大学(北京)
194,福建医科大学
195,哈尔滨理工大学
196,广州中医药大学
197,上海中医药大学
198,兰州理工大学
199,山东财经大学
200,烟台大学
