排名,排名1,学校
1,1,北京大学
2,2,清华大学
3,3,上海交通大学
4,4,浙江大学
5,5,华中科技大学
6,6,南京大学
7,7,西安交通大学
8,7,复旦大学
9,9,中国科学技术大学
10,10,天津大学
11,10,吉林大学
12,10,北京师范大学
13,10,武汉大学
14,13,中国人民大学
15,14,哈尔滨工业大学
16,15,中山大学
17,16,南开大学
18,17,四川大学
19,18,山东大学
20,19,北京航空航天大学
21,20,厦门大学
22,21,同济大学
23,22,东南大学
24,23,华东师范大学
25,23,大连理工大学
26,24,北京理工大学
27,25,西北工业大学
28,26,华南理工大学
29,27,中南大学
30,28,中国农业大学
31,29,东北大学
32,30,兰州大学
33,31,湖南大学
34,32,北京科技大学
35,33,电子科技大学
36,34,重庆大学
37,35,武汉理工大学
38,36,西南大学
39,36,华中师范大学
40,37,河海大学
41,37,南京理工大学
42,39,华东理工大学
43,40,北京交通大学
44,41,南京农业大学
45,41,南京师范大学
46,42,中国海洋大学
47,42,苏州大学
48,42,华中农业大学
49,45,西北大学
50,46,南京航空航天大学
51,47,中南财经政法大学
52,47,西南交通大学
53,49,北京邮电大学
54,49,西安电子科技大学
55,51,暨南大学
56,52,郑州大学
57,52,湖南师范大学
58,53,合肥工业大学
59,54,西北农林科技大学
60,55,哈尔滨工程大学
61,56,上海财经大学
62,56,东北师范大学
63,57,昆明理工大学
64,57,深圳大学
65,57,云南大学
66,57,中国政法大学
67,60,上海大学
68,60,华南师范大学
69,61,华南农业大学
70,62,北京化工大学
71,62,西南财经大学
72,62,陕西师范大学
73,64,东华大学
74,65,南昌大学
75,66,北京工业大学
76,67,燕山大学
77,68,宁波大学
78,69,中国石油大学（北京）
79,70,中国地质大学（武汉）
80,70,中国传媒大学
81,71,扬州大学
82,72,太原理工大学
83,72,中国矿业大学
84,74,山西大学
85,74,江南大学
86,76,浙江工业大学
87,77,南京工业大学
88,78,上海理工大学
89,78,福建师范大学
90,79,河北大学
91,79,福州大学
92,79,中央民族大学
93,81,北京林业大学
94,82,对外经济贸易大学
95,83,中国石油大学（华东）
96,83,浙江师范大学
97,84,江苏大学
98,85,东北财经大学
99,86,安徽大学
100,87,贵州大学
101,88,河南大学
102,89,武汉科技大学
103,90,黑龙江大学
104,91,新疆大学
105,91,首都师范大学
106,92,辽宁大学
107,93,山东科技大学
108,94,中央财经大学
109,94,山东师范大学
110,94,河南师范大学
111,95,河南科技大学
112,95,齐鲁工业大学
113,97,内蒙古大学
114,98,南京林业大学
115,98,西南政法大学
116,99,江西财经大学
117,100,东北林业大学
118,100,西安建筑科技大学
119,102,广西大学
120,102,长安大学
121,102,福建农林大学
122,105,山东农业大学
123,105,天津工业大学
124,105,江西师范大学
125,107,湘潭大学
126,108,青岛大学
127,109,东北农业大学
128,110,四川农业大学
129,111,大连海事大学
130,111,天津师范大学
131,112,河北农业大学
132,113,西安理工大学
133,113,上海师范大学
134,114,湖南农业大学
135,114,安徽师范大学
136,115,河南农业大学
137,116,西南石油大学
138,117,海南大学
139,117,广西师范大学
140,117,西北师范大学
141,118,浙江理工大学
142,118,河北师范大学
143,119,石河子大学
144,120,中国矿业大学（北京）
145,121,中北大学
146,122,中国地质大学（北京）
147,122,浙江工商大学
148,124,南京信息工程大学
149,125,宁夏大学
150,126,河北工业大学
151,127,广东工业大学
152,127,内蒙古农业大学
153,127,广东外语外贸大学
154,129,河南理工大学
155,129,吉林农业大学
156,131,南方科技大学
157,132,华北电力大学
158,132,安徽农业大学
159,132,山东财经大学
160,135,青岛科技大学
161,135,长沙理工大学
162,135,云南民族大学
163,137,华侨大学
164,137,中南民族大学
165,137,湖北大学
166,137,南京邮电大学
167,140,山西财经大学
168,141,沈阳农业大学
169,142,首都经济贸易大学
170,142,广州大学
171,142,温州大学
172,142,重庆邮电大学
173,142,云南师范大学
174,146,成都理工大学
175,146,杭州电子科技大学
176,146,东北电力大学
177,149,东莞理工学院
178,149,北京工商大学
179,149,辽宁工程技术大学
180,152,哈尔滨理工大学
181,152,四川师范大学
182,153,江西理工大学
183,153,哈尔滨师范大学
184,154,长江大学
185,154,天津财经大学
186,154,华东政法大学
187,156,西藏大学
188,156,陕西科技大学
189,158,兰州交通大学
190,158,三峡大学
191,158,杭州师范大学
192,160,济南大学
193,160,江苏师范大学
194,161,青海大学
195,162,长春理工大学
196,162,贵州师范大学
197,163,石家庄铁道大学
198,163,天津科技大学
199,163,中南林业科技大学
200,166,兰州理工大学
