排名,学校
1,清华大学
2,浙江大学
3,北京大学
4,上海交通大学
5,复旦大学
6,南京大学
7,武汉大学
8,华中科技大学
9,四川大学
10,吉林大学
11,中山大学
12,山东大学
13,哈尔滨工业大学
14,东南大学
15,西安交通大学
16,中国科学技术大学
17,中南大学
18,同济大学
19,中国人民大学
20,天津大学
21,南开大学
22,华南理工大学
23,北京师范大学
24,苏州大学
25,北京航空航天大学
26,厦门大学
27,大连理工大学
28,湖南大学
29,重庆大学
30,北京理工大学
31,兰州大学
32,西北工业大学
33,华东师范大学
34,中国农业大学
35,华东理工大学
36,郑州大学
37,电子科技大学
38,南京航空航天大学
39,江苏大学
40,上海大学
41,西南大学
42,武汉理工大学
43,南京农业大学
44,西北农林科技大学
45,南京理工大学
46,华中师范大学
47,江南大学
48,哈尔滨工程大学
49,北京科技大学
50,东北大学
51,北京化工大学
52,西安电子科技大学
53,西南交通大学
54,南京师范大学
55,华中农业大学
56,北京交通大学
57,暨南大学
58,河海大学
59,东北师范大学
60,华北电力大学
61,福州大学
62,浙江工业大学
63,中国矿业大学
64,中国海洋大学
65,华南师范大学
66,南京医科大学
67,南昌大学
68,扬州大学
69,合肥工业大学
70,陕西师范大学
71,河南大学
72,首都医科大学
73,北京工业大学
74,东华大学
75,西北大学
76,南京工业大学
77,北京邮电大学
78,浙江师范大学
79,中国石油大学(华东)
80,上海理工大学
81,中南财经政法大学
82,中国地质大学(武汉)
83,首都师范大学
84,燕山大学
85,华南农业大学
86,宁波大学
87,湖南师范大学
88,南京信息工程大学
89,北京林业大学
90,中国医科大学
91,上海财经大学
92,湘潭大学
93,昆明理工大学
94,青岛大学
95,福建师范大学
96,南京邮电大学
97,南方医科大学
98,安徽大学
99,西南财经大学
100,山西大学
101,四川农业大学
102,云南大学
103,对外经济贸易大学
104,中国药科大学
105,中国传媒大学
106,深圳大学
107,广西大学
108,黑龙江大学
109,哈尔滨医科大学
110,太原理工大学
111,上海师范大学
112,中国石油大学(北京)
113,浙江理工大学
114,中央财经大学
115,济南大学
116,重庆医科大学
117,长安大学
118,中国地质大学(北京)
119,山东农业大学
120,东北林业大学
121,广东工业大学
122,温州医科大学
123,中国政法大学
124,天津医科大学
125,华侨大学
126,西北师范大学
127,安徽师范大学
128,东北财经大学
129,贵州大学
130,南通大学
131,山东师范大学
132,江苏师范大学
133,杭州师范大学
134,河南师范大学
135,河北大学
136,江西财经大学
137,山东科技大学
138,河南科技大学
139,新疆大学
140,南京中医药大学
141,西南政法大学
142,杭州电子科技大学
143,浙江工商大学
144,东北农业大学
145,南京林业大学
146,河南理工大学
147,哈尔滨师范大学
148,中央民族大学
149,西安理工大学
150,福建农林大学
151,广东外语外贸大学
152,江西师范大学
153,大连海事大学
154,青岛科技大学
155,武汉科技大学
156,中北大学
157,三峡大学
158,天津师范大学
159,辽宁大学
160,石河子大学
161,安徽医科大学
162,华东政法大学
163,西安建筑科技大学
164,四川师范大学
165,广州大学
166,天津工业大学
167,河北工业大学
168,中国矿业大学(北京)
169,长沙理工大学
170,上海外国语大学
171,湖南科技大学
172,哈尔滨理工大学
173,北京外国语大学
174,湖北大学
175,湖南农业大学
176,海南大学
177,中南民族大学
178,辽宁工程技术大学
179,上海中医药大学
180,温州大学
181,曲阜师范大学
182,南华大学
183,陕西科技大学
184,常州大学
185,山东理工大学
186,北京中医药大学
187,西南石油大学
188,西南科技大学
189,内蒙古大学
190,兰州理工大学
191,辽宁师范大学
192,成都理工大学
193,重庆邮电大学
194,山东财经大学
195,河北师范大学
196,中国计量大学
197,河北农业大学
198,江苏科技大学
199,河北医科大学
200,河南农业大学
