排名,学校,地区
1,清华大学,北京
2,浙江大学,浙江
3,北京大学,北京
4,上海交通大学,上海
5,武汉大学,湖北
6,南京大学,江苏
7,复旦大学,上海
8,华中科技大学,湖北
9,四川大学,四川
10,吉林大学,吉林
11,中山大学,广东
12,山东大学,山东
13,哈尔滨工业大学,黑龙江
14,中国科学技术大学,安徽
15,东南大学,江苏
16,西安交通大学,陕西
17,中国人民大学,北京
18,中南大学,湖南
19,天津大学,天津
20,南开大学,天津
21,同济大学,上海
22,华南理工大学,广东
23,北京师范大学,北京
24,苏州大学,江苏
25,北京航空航天大学,北京
26,厦门大学,福建
27,湖南大学,湖南
28,大连理工大学,辽宁
29,重庆大学,重庆
30,北京理工大学,北京
31,西北工业大学,陕西
32,华东师范大学,上海
33,中国农业大学,北京
34,兰州大学,甘肃
35,华东理工大学,上海
36,郑州大学,河南
37,南京航空航天大学,江苏
38,南京农业大学,江苏
39,电子科技大学,四川
40,上海大学,上海
41,江苏大学,江苏
42,西北农林科技大学,陕西
43,西南大学,重庆
44,武汉理工大学,湖北
45,南京理工大学,江苏
46,北京科技大学,北京
47,江南大学,江苏
48,东北大学,辽宁
49,哈尔滨工程大学,黑龙江
50,北京化工大学,北京
51,华中师范大学,湖北
52,华中农业大学,湖北
53,南京师范大学,江苏
54,西安电子科技大学,陕西
55,西南交通大学,四川
56,河海大学,江苏
57,暨南大学,广东
58,南京医科大学,江苏
59,北京交通大学,北京
60,华北电力大学,北京
61,陕西师范大学,陕西
62,东北师范大学,吉林
63,南昌大学,江西
64,福州大学,福建
65,浙江工业大学,浙江
66,扬州大学,江苏
67,首都医科大学,北京
68,华南师范大学,广东
69,合肥工业大学,安徽
70,中国矿业大学,江苏
71,南京工业大学,江苏
72,西北大学,陕西
73,中国海洋大学,山东
74,河南大学,河南
75,上海理工大学,上海
76,北京工业大学,北京
77,东华大学,上海
78,北京邮电大学,北京
79,中国石油大学(华东),山东
80,中国地质大学(武汉),湖北
81,南京信息工程大学,江苏
82,华南农业大学,广东
83,宁波大学,浙江
84,中南财经政法大学,湖北
85,北京林业大学,北京
86,中国医科大学,辽宁
87,浙江师范大学,浙江
88,南方医科大学,广东
89,南京邮电大学,江苏
90,燕山大学,河北
91,安徽大学,安徽
92,上海财经大学,上海
93,首都师范大学,北京
94,青岛大学,山东
95,昆明理工大学,云南
96,湖南师范大学,湖南
97,深圳大学,广东
98,湘潭大学,湖南
99,福建师范大学,福建
100,中国石油大学(北京),北京
101,西南财经大学,四川
102,哈尔滨医科大学,黑龙江
103,中国药科大学,江苏
104,中国地质大学(北京),北京
105,重庆医科大学,重庆
106,太原理工大学,山西
107,济南大学,山东
108,温州医科大学,浙江
109,对外经济贸易大学,北京
110,山西大学,山西
111,四川农业大学,四川
112,中央财经大学,北京
113,中国传媒大学,北京
114,广西大学,广西
115,广东工业大学,广东
116,上海师范大学,上海
117,天津医科大学,天津
118,浙江理工大学,浙江
119,东北林业大学,黑龙江
120,黑龙江大学,黑龙江
121,云南大学,云南
122,南通大学,江苏
123,中国政法大学,北京
124,长安大学,陕西
125,山东师范大学,山东
126,江苏师范大学,江苏
127,山东农业大学,山东
128,西北师范大学,甘肃
129,东北财经大学,辽宁
130,河南师范大学,河南
131,华侨大学,福建
132,南京林业大学,江苏
133,贵州大学,贵州
134,杭州师范大学,浙江
135,安徽医科大学,安徽
136,东北农业大学,黑龙江
137,安徽师范大学,安徽
138,杭州电子科技大学,浙江
139,福建农林大学,福建
140,江西师范大学,江西
141,江西财经大学,江西
142,南京中医药大学,江苏
143,广东外语外贸大学,广东
144,河南理工大学,河南
145,山东科技大学,山东
146,河北大学,河北
147,武汉科技大学,湖北
148,河南科技大学,河南
149,西南政法大学,重庆
150,辽宁大学,辽宁
151,北京中医药大学,北京
152,浙江工商大学,浙江
153,西安建筑科技大学,陕西
154,中北大学,山西
155,中国矿业大学(北京),北京
156,常州大学,江苏
157,西安理工大学,陕西
158,新疆大学,新疆
159,青岛科技大学,山东
160,哈尔滨师范大学,黑龙江
161,华东政法大学,上海
162,天津师范大学,天津
163,大连海事大学,辽宁
164,石河子大学,新疆
165,上海中医药大学,上海
166,中央民族大学,北京
167,湖北大学,湖北
168,北京外国语大学,北京
169,四川师范大学,四川
170,河北工业大学,河北
171,天津工业大学,天津
172,上海外国语大学,上海
173,海南大学,海南
174,西南石油大学,四川
175,三峡大学,湖北
176,湖南农业大学,湖南
177,辽宁师范大学,辽宁
178,曲阜师范大学,山东
179,广州大学,广东
180,陕西科技大学,陕西
181,中南民族大学,湖北
182,山东理工大学,山东
183,福建医科大学,福建
184,广州中医药大学,广东
185,哈尔滨理工大学,黑龙江
186,辽宁工程技术大学,辽宁
187,重庆邮电大学,重庆
188,大连医科大学,辽宁
189,河南农业大学,河南
190,广州医科大学,广东
191,沈阳药科大学,辽宁
192,湖南科技大学,湖南
193,西南科技大学,四川
194,山东财经大学,山东
195,长沙理工大学,湖南
196,内蒙古大学,内蒙古
197,兰州理工大学,甘肃
198,成都理工大学,四川
199,中国计量大学,浙江
200,河北医科大学,河北
