排名,学校,地区
1,清华大学,北京
2,北京大学,北京
3,浙江大学,浙江
4,上海交通大学,上海
5,武汉大学,湖北
6,南京大学,江苏
7,华中科技大学,湖北
8,复旦大学,上海
9,四川大学,四川
10,吉林大学,吉林
11,中山大学,广东
12,山东大学,山东
13,哈尔滨工业大学,黑龙江
14,中国科学技术大学,安徽
15,西安交通大学,陕西
16,中南大学,湖南
17,东南大学,江苏
18,中国人民大学,北京
19,同济大学,上海
20,天津大学,天津
21,北京师范大学,北京
22,苏州大学,江苏
23,南开大学,天津
24,华南理工大学,广东
25,北京航空航天大学,北京
26,厦门大学,福建
27,湖南大学,湖南
28,重庆大学,重庆
29,大连理工大学,辽宁
30,西北工业大学,陕西
31,华东师范大学,上海
32,北京理工大学,北京
33,兰州大学,甘肃
34,中国农业大学,北京
35,郑州大学,河南
36,电子科技大学,四川
37,华东理工大学,上海
38,西北农林科技大学,陕西
39,西南大学,重庆
40,江苏大学,江苏
41,南京航空航天大学,江苏
42,武汉理工大学,湖北
43,南京农业大学,江苏
44,上海大学,上海
45,南京理工大学,江苏
46,江南大学,江苏
47,东北大学,辽宁
48,北京化工大学,北京
49,华中师范大学,湖北
50,北京科技大学,北京
51,华中农业大学,湖北
52,西安电子科技大学,陕西
53,哈尔滨工程大学,黑龙江
54,西南交通大学,四川
55,河海大学,江苏
56,南京师范大学,江苏
57,南京医科大学,江苏
58,暨南大学,广东
59,华北电力大学,北京
60,中国矿业大学,江苏
61,南昌大学,江西
62,福州大学,福建
63,北京交通大学,北京
64,陕西师范大学,陕西
65,扬州大学,江苏
66,南京工业大学,江苏
67,华南师范大学,广东
68,首都医科大学,北京
69,浙江工业大学,浙江
70,东北师范大学,吉林
71,合肥工业大学,安徽
72,中国海洋大学,山东
73,西北大学,陕西
74,北京工业大学,北京
75,河南大学,河南
76,中国石油大学(华东),山东
77,中国地质大学(武汉),湖北
78,南京信息工程大学,江苏
79,上海理工大学,上海
80,宁波大学,浙江
81,华南农业大学,广东
82,东华大学,上海
83,南方医科大学,广东
84,北京邮电大学,北京
85,深圳大学,广东
86,北京林业大学,北京
87,青岛大学,山东
88,南京邮电大学,江苏
89,浙江师范大学,浙江
90,中国医科大学,辽宁
91,中南财经政法大学,湖北
92,燕山大学,河北
93,中国石油大学(北京),北京
94,昆明理工大学,云南
95,湖南师范大学,湖南
96,上海财经大学,上海
97,哈尔滨医科大学,黑龙江
98,安徽大学,安徽
99,温州医科大学,浙江
100,中国药科大学,江苏
101,四川农业大学,四川
102,济南大学,山东
103,太原理工大学,山西
104,中国地质大学(北京),北京
105,重庆医科大学,重庆
106,山西大学,山西
107,西南财经大学,四川
108,湘潭大学,湖南
109,首都师范大学,北京
110,福建师范大学,福建
111,中央财经大学,北京
112,南京林业大学,江苏
113,山东师范大学,山东
114,南通大学,江苏
115,广东工业大学,广东
116,江苏师范大学,江苏
117,天津医科大学,天津
118,浙江理工大学,浙江
119,对外经济贸易大学,北京
120,河南师范大学,河南
121,长安大学,陕西
122,中国政法大学,北京
123,东北林业大学,黑龙江
124,上海师范大学,上海
125,云南大学,云南
126,广西大学,广西
127,山东农业大学,山东
128,西北师范大学,甘肃
129,福建农林大学,福建
130,江西师范大学,江西
131,山东科技大学,山东
132,黑龙江大学,黑龙江
133,贵州大学,贵州
134,安徽医科大学,安徽
135,东北农业大学,黑龙江
136,杭州电子科技大学,浙江
137,河南科技大学,河南
138,江西财经大学,江西
139,南京中医药大学,江苏
140,安徽师范大学,安徽
141,中国传媒大学,北京
142,杭州师范大学,浙江
143,武汉科技大学,湖北
144,华侨大学,福建
145,北京中医药大学,北京
146,广州大学,广东
147,曲阜师范大学,山东
148,河南理工大学,河南
149,西安建筑科技大学,陕西
150,常州大学,江苏
151,华东政法大学,上海
152,河北大学,河北
153,东北财经大学,辽宁
154,中北大学,山西
155,西安理工大学,陕西
156,青岛科技大学,山东
157,西南政法大学,重庆
158,河北工业大学,河北
159,西南石油大学,四川
160,石河子大学,新疆
161,湖北大学,湖北
162,中国矿业大学(北京),北京
163,辽宁大学,辽宁
164,四川师范大学,四川
165,广东外语外贸大学,广东
166,上海中医药大学,上海
167,大连海事大学,辽宁
168,大连医科大学,辽宁
169,新疆大学,新疆
170,福建医科大学,福建
171,中央民族大学,北京
172,天津工业大学,天津
173,三峡大学,湖北
174,天津师范大学,天津
175,浙江工商大学,浙江
176,海南大学,海南
177,山东理工大学,山东
178,陕西科技大学,陕西
179,哈尔滨师范大学,黑龙江
180,西南科技大学,四川
181,广州医科大学,广东
182,兰州理工大学,甘肃
183,辽宁师范大学,辽宁
184,湖南农业大学,湖南
185,北京外国语大学,北京
186,沈阳药科大学,辽宁
187,山东财经大学,山东
188,哈尔滨理工大学,黑龙江
189,长沙理工大学,湖南
190,中南民族大学,湖北
191,重庆邮电大学,重庆
192,广州中医药大学,广东
193,河北医科大学,河北
194,中国计量大学,浙江
195,江苏科技大学,江苏
196,湖南科技大学,湖南
197,青岛农业大学,山东
198,成都理工大学,四川
199,河南农业大学,河南
200,内蒙古大学,内蒙古
