排名,排名1,学校
1,1,北京大学
2,2,清华大学
3,3,复旦大学
4,4,浙江大学
5,5,上海交通大学
6,6,南京大学
7,7,华中科技大学
8,8,中国科学技术大学
9,9,南开大学
10,10,武汉大学
11,11,中国人民大学
12,12,中山大学
13,13,哈尔滨工业大学
14,14,西安交通大学
15,14,北京师范大学
16,15,山东大学
17,16,同济大学
18,17,北京航空航天大学
19,18,四川大学
20,19,厦门大学
21,20,天津大学
22,21,东南大学
23,22,西北工业大学
24,23,华南理工大学
25,24,北京理工大学
26,24,华东师范大学
27,25,吉林大学
28,26,大连理工大学
29,27,中南大学
30,28,中国农业大学
31,29,东北大学
32,29,电子科技大学
33,31,湖南大学
34,32,重庆大学
35,32,北京协和医学院
36,33,兰州大学
37,34,北京科技大学
38,35,武汉理工大学
39,36,西南大学
40,37,南京理工大学
41,38,暨南大学
42,39,苏州大学
43,40,北京交通大学
44,41,华东理工大学
45,42,华中农业大学
46,43,西安电子科技大学
47,44,南京农业大学
48,45,中国海洋大学
49,46,北京邮电大学
50,47,南昌大学
51,47,华中师范大学
52,48,华南农业大学
53,49,南京航空航天大学
54,50,江南大学
55,51,中南财经政法大学
56,51,南京师范大学
57,52,西北农林科技大学
58,53,上海财经大学
59,54,合肥工业大学
60,55,北京化工大学
61,55,湖南师范大学
62,56,南方科技大学
63,56,西南交通大学
64,58,郑州大学
65,58,东北师范大学
66,59,对外经济贸易大学
67,59,华南师范大学
68,60,哈尔滨工程大学
69,61,河海大学
70,62,北京工业大学
71,62,燕山大学
72,64,西北大学
73,65,宁波大学
74,66,福州大学
75,66,扬州大学
76,68,中国矿业大学
77,69,中国石油大学（北京）
78,69,首都医科大学
79,70,北京林业大学
80,70,福建师范大学
81,71,上海大学
82,71,中国政法大学
83,72,南京林业大学
84,73,上海理工大学
85,73,西南财经大学
86,75,浙江工业大学
87,75,中国地质大学（武汉）
88,75,首都师范大学
89,77,江苏大学
90,78,河北大学
91,79,中国石油大学（华东）
92,79,陕西师范大学
93,79,中国传媒大学
94,80,中央民族大学
95,80,北京外国语大学
96,80,浙江师范大学
97,81,东华大学
98,82,安徽大学
99,83,南京工业大学
100,83,南方医科大学
101,84,贵州大学
102,84,武汉科技大学
103,86,山西大学
104,86,深圳大学
105,88,云南大学
106,89,河南大学
107,90,齐鲁工业大学
108,91,河南科技大学
109,91,广东工业大学
110,93,中央财经大学
111,94,福建农林大学
112,95,东北财经大学
113,96,东北林业大学
114,97,东北农业大学
115,98,辽宁大学
116,99,山东农业大学
117,99,天津医科大学
118,100,黑龙江大学
119,101,长安大学
120,101,中国医科大学
121,102,中国矿业大学（北京）
122,102,昆明理工大学
123,102,哈尔滨医科大学
124,104,湘潭大学
125,104,南京医科大学
126,105,中国地质大学（北京）
127,105,北京中医药大学
128,106,湖南农业大学
129,106,中国药科大学
130,107,西安理工大学
131,107,上海中医药大学
132,108,华北电力大学
133,108,北京语言大学
134,109,浙江理工大学
135,109,西北师范大学
136,110,太原理工大学
137,111,江西财经大学
138,111,北京体育大学
139,112,四川农业大学
140,112,上海外国语大学
141,112,重庆医科大学
142,113,华侨大学
143,113,天津中医药大学
144,114,河北工业大学
145,114,河北医科大学
146,114,河南师范大学
147,114,外交学院
148,115,西南石油大学
149,116,浙江工商大学
150,116,山东师范大学
151,117,广西大学
152,117,广州大学
153,117,内蒙古大学
154,117,安徽师范大学
155,117,山东第一医科大学
156,117,天津师范大学
157,120,长沙理工大学
158,121,山东财经大学
159,121,广州医科大学
160,121,江西师范大学
161,121,山西医科大学
162,122,南京邮电大学
163,122,首都经济贸易大学
164,124,山东科技大学
165,125,南京信息工程大学
166,126,西安建筑科技大学
167,126,华东政法大学
168,127,长江大学
169,127,中央戏剧学院
170,128,大连海事大学
171,128,湖北工业大学
172,128,三峡大学
173,128,云南民族大学
174,128,北京电影学院
175,128,南京中医药大学
176,132,天津工业大学
177,132,中南民族大学
178,132,广东外语外贸大学
179,132,广州中医药大学
180,132,上海师范大学
181,134,杭州电子科技大学
182,135,青岛大学
183,136,汕头大学
184,137,武汉纺织大学
185,137,河北师范大学
186,137,西南政法大学
187,138,江西理工大学
188,138,哈尔滨师范大学
189,139,东莞理工学院
190,139,杭州师范大学
191,139,四川师范大学
192,140,东北电力大学
193,140,湖北大学
194,140,陕西科技大学
195,140,沈阳农业大学
196,140,江苏师范大学
197,144,安徽农业大学
198,145,济南大学
199,146,重庆邮电大学
200,147,天津科技大学
