排名,排名1,学校
1,1,北京大学
2,2,清华大学
3,3,中国科学院大学
4,3,上海交通大学
5,4,浙江大学
6,5,武汉大学
7,6,南京大学
8,6,复旦大学
9,8,中国科学技术大学
10,9,华中科技大学
11,10,中国人民大学
12,10,天津大学
13,10,北京师范大学
14,12,西安交通大学
15,13,吉林大学
16,14,山东大学
17,14,国防科技大学
18,15,中山大学
19,16,南开大学
20,17,哈尔滨工业大学
21,18,北京航空航天大学
22,19,四川大学
23,20,同济大学
24,21,厦门大学
25,22,北京理工大学
26,23,东南大学
27,24,华南理工大学
28,25,大连理工大学
29,25,华东师范大学
30,26,中南大学
31,26,西北工业大学
32,28,中国农业大学
33,29,东北大学
34,30,湖南大学
35,30,电子科技大学
36,32,兰州大学
37,33,北京科技大学
38,34,重庆大学
39,35,武汉理工大学
40,35,南京理工大学
41,35,北京协和医学院
42,37,西南大学
43,37,华中师范大学
44,38,中国海洋大学
45,39,暨南大学
46,40,河海大学
47,40,南京师范大学
48,41,北京交通大学
49,42,南京农业大学
50,43,华东理工大学
51,44,苏州大学
52,45,华中农业大学
53,46,中南财经政法大学
54,46,南京航空航天大学
55,48,西安电子科技大学
56,49,合肥工业大学
57,50,西南交通大学
58,51,西北农林科技大学
59,52,西北大学
60,52,湖南师范大学
61,53,郑州大学
62,53,东北师范大学
63,54,华南农业大学
64,55,昆明理工大学
65,56,深圳大学
66,57,北京邮电大学
67,57,华南师范大学
68,58,哈尔滨工程大学
69,58,上海科技大学
70,59,上海财经大学
71,60,云南大学
72,61,上海大学
73,62,西南财经大学
74,63,东华大学
75,63,中国政法大学
76,64,燕山大学
77,64,海军军医大学
78,65,北京化工大学
79,65,首都医科大学
80,66,宁波大学
81,67,中国石油大学（北京）
82,68,扬州大学
83,69,中国地质大学（武汉）
84,69,北京外国语大学
85,70,南昌大学
86,70,中国传媒大学
87,71,太原理工大学
88,72,北京工业大学
89,72,空军军医大学
90,73,江南大学
91,73,战略支援部队信息工程大学
92,74,山西大学
93,75,河北大学
94,75,陕西师范大学
95,76,上海理工大学
96,76,福建师范大学
97,77,中国矿业大学
98,78,浙江工业大学
99,79,对外经济贸易大学
100,80,江苏大学
101,80,首都师范大学
102,81,福州大学
103,81,浙江师范大学
104,82,北京林业大学
105,83,中国石油大学（华东）
106,83,空军工程大学
107,83,南方科技大学
108,83,陆军工程大学
109,84,安徽大学
110,85,中央民族大学
111,85,武汉科技大学
112,87,南京林业大学
113,88,南京工业大学
114,89,河南大学
115,90,长安大学
116,91,辽宁大学
117,92,东北财经大学
118,92,海军工程大学
119,93,贵州大学
120,94,河南科技大学
121,94,齐鲁工业大学
122,96,中央财经大学
123,97,西安建筑科技大学
124,97,西南政法大学
125,97,河南师范大学
126,98,湘潭大学
127,98,江西师范大学
128,98,北京体育大学
129,99,河北工业大学
130,99,山东师范大学
131,99,外交学院
132,99,北京中医药大学
133,100,东北农业大学
134,101,江西财经大学
135,102,黑龙江大学
136,103,东北林业大学
137,104,福建农林大学
138,104,哈尔滨医科大学
139,105,四川农业大学
140,105,中国药科大学
141,106,山东农业大学
142,107,天津工业大学
143,107,陆军军医大学
144,108,新疆大学
145,109,西南石油大学
146,110,河北农业大学
147,110,中国医科大学
148,110,上海中医药大学
149,111,湖南农业大学
150,111,南方医科大学
151,112,河南农业大学
152,113,中国矿业大学（北京）
153,114,中国地质大学（北京）
154,114,南京医科大学
155,115,浙江工商大学
156,115,天津医科大学
157,116,山东科技大学
158,116,天津师范大学
159,116,西北师范大学
160,116,上海外国语大学
161,117,华侨大学
162,118,西安理工大学
163,119,大连海事大学
164,120,浙江理工大学
165,120,安徽师范大学
166,121,吉林农业大学
167,122,广西大学
168,122,重庆医科大学
169,123,华北电力大学
170,124,河南理工大学
171,124,上海师范大学
172,125,广东工业大学
173,126,中北大学
174,126,河北医科大学
175,127,安徽农业大学
176,128,山东财经大学
177,129,内蒙古大学
178,129,首都经济贸易大学
179,129,温州医科大学
180,129,哈尔滨师范大学
181,129,南京中医药大学
182,131,南京邮电大学
183,132,南京信息工程大学
184,133,长沙理工大学
185,133,云南民族大学
186,133,天津中医药大学
187,135,中南民族大学
188,135,北京电影学院
189,136,青岛大学
190,136,北京工商大学
191,138,沈阳农业大学
192,138,成都理工大学
193,138,华东政法大学
194,140,东北电力大学
195,140,青岛科技大学
196,142,杭州电子科技大学
197,142,山西医科大学
198,143,海南大学
199,143,广东外语外贸大学
200,144,长江大学
