学校,省份,类别,排名,总分
清华大学,北京,理工,1,95.3
北京大学,北京,综合,2,78.6
浙江大学,浙江,综合,3,73.9
上海交通大学,上海,综合,4,73.1
复旦大学,上海,综合,5,66.0
中国科学技术大学,安徽,理工,6,61.9
南京大学,江苏,综合,7,59.8
华中科技大学,湖北,理工,8,59.1
中山大学,广东,综合,9,58.6
哈尔滨工业大学,黑龙江,理工,10,57.4
同济大学,上海,理工,11,56.4
武汉大学,湖北,综合,12,55.5
东南大学,江苏,综合,13,55.3
西安交通大学,陕西,综合,14,54.2
北京航空航天大学,北京,理工,15,54.0
南开大学,天津,综合,16,53.9
四川大学,四川,综合,17,53.3
天津大学,天津,理工,18,52.4
华南理工大学,广东,理工,19,51.8
北京师范大学,北京,师范,20,51.7
北京理工大学,北京,理工,21,51.1
厦门大学,福建,综合,22,50.9
吉林大学,吉林,综合,23,50.2
山东大学,山东,综合,24,50.0
大连理工大学,辽宁,理工,25,49.7
中南大学,湖南,综合,26,49.5
苏州大学,江苏,综合,27,48.8
对外经济贸易大学,北京,财经,28,47.7
西北工业大学,陕西,理工,29,47.6
中国人民大学,北京,综合,30,47.5
湖南大学,湖南,综合,31,47.4
华东师范大学,上海,师范,32,46.5
电子科技大学,四川,理工,33,46.4
华东理工大学,上海,理工,34,45.5
重庆大学,重庆,综合,35,45.2
南京航空航天大学,江苏,理工,35,45.2
北京科技大学,北京,理工,37,44.5
南京理工大学,江苏,理工,37,44.5
上海财经大学,上海,财经,39,44.3
中国农业大学,北京,农业,40,43.7
上海大学,上海,综合,41,43.6
东北大学,辽宁,理工,42,43.5
华中师范大学,湖北,师范,43,43.3
南方科技大学,广东,综合,43,43.3
北京交通大学,北京,理工,45,43.0
首都医科大学,北京,医药,46,42.9
武汉理工大学,湖北,理工,47,42.8
北京化工大学,北京,理工,48,42.4
北京邮电大学,北京,理工,48,42.4
东华大学,上海,理工,48,42.4
北京外国语大学,北京,语言,51,42.1
天津医科大学,天津,医药,52,42.0
中央财经大学,北京,财经,52,42.0
西安电子科技大学,陕西,理工,54,41.9
南京医科大学,江苏,医药,55,41.7
暨南大学,广东,综合,56,41.6
兰州大学,甘肃,综合,57,41.4
江南大学,江苏,综合,58,40.8
华北电力大学,北京,理工,59,40.5
中国海洋大学,山东,综合,60,40.3
哈尔滨工程大学,黑龙江,理工,61,40.2
中国地质大学（武汉）,湖北,理工,61,40.2
华中农业大学,湖北,农业,63,40.1
南京师范大学,江苏,师范,63,40.1
东北师范大学,吉林,师范,65,40.0
西南财经大学,四川,财经,66,39.9
福州大学,福建,理工,67,39.8
中国药科大学,江苏,医药,67,39.8
中国地质大学（北京）,北京,理工,69,39.7
上海外国语大学,上海,语言,70,39.6
南京农业大学,江苏,农业,71,39.5
北京工业大学,北京,理工,72,39.2
河海大学,江苏,理工,72,39.2
西南交通大学,四川,理工,74,39.1
中国医科大学,辽宁,医药,74,39.1
西南大学,重庆,综合,76,39.0
南方医科大学,广东,医药,77,38.8
中南财经政法大学,湖北,财经,77,38.8
南京信息工程大学,江苏,理工,79,38.4
江苏大学,江苏,综合,80,38.3
中国石油大学（华东）,山东,理工,80,38.3
合肥工业大学,安徽,理工,82,38.2
上海中医药大学,上海,医药,83,38.1
中国矿业大学,江苏,理工,83,38.1
浙江工业大学,浙江,理工,85,38.0
北京中医药大学,北京,医药,86,37.9
华侨大学,福建,综合,86,37.9
