学校,省份,类别,排名,总分
清华大学,北京,综合,1,969.2
北京大学,北京,综合,2,855.3
浙江大学,浙江,综合,3,768.7
上海交通大学,上海,综合,4,723.4
南京大学,江苏,综合,5,654.8
复旦大学,上海,综合,6,649.7
中国科学技术大学,安徽,理工,7,577.0
华中科技大学,湖北,综合,8,574.3
武汉大学,湖北,综合,9,567.9
西安交通大学,陕西,综合,10,537.9
哈尔滨工业大学,黑龙江,理工,11,522.6
中山大学,广东,综合,12,519.3
北京师范大学,北京,师范,13,518.3
四川大学,四川,综合,14,516.6
北京航空航天大学,北京,理工,15,513.8
同济大学,上海,理工,16,508.3
东南大学,江苏,综合,17,488.1
中国人民大学,北京,综合,18,487.8
北京理工大学,北京,理工,19,474.0
南开大学,天津,综合,20,465.3
山东大学,山东,综合,21,447.0
天津大学,天津,理工,22,444.3
中南大学,湖南,综合,23,442.2
吉林大学,吉林,综合,24,435.7
西北工业大学,陕西,理工,25,430.5
厦门大学,福建,综合,26,427.8
华南理工大学,广东,理工,27,419.8
大连理工大学,辽宁,理工,28,418.2
华东师范大学,上海,师范,29,401.8
中国农业大学,北京,农业,30,400.4
电子科技大学,四川,理工,31,398.8
湖南大学,湖南,综合,32,393.5
北京科技大学,北京,理工,33,379.4
重庆大学,重庆,综合,34,365.5
南京航空航天大学,江苏,理工,35,358.6
东北大学,辽宁,理工,36,356.1
南京理工大学,江苏,理工,37,356.0
西安电子科技大学,陕西,理工,38,355.1
兰州大学,甘肃,综合,39,353.4
北京交通大学,北京,理工,40,349.9
南方科技大学,广东,综合,41,345.8
华中农业大学,湖北,农业,42,338.5
上海大学,上海,综合,43,333.0
苏州大学,江苏,综合,44,327.0
华东理工大学,上海,理工,45,324.5
华中师范大学,湖北,师范,46,322.0
南京师范大学,江苏,师范,47,321.3
中国地质大学（武汉）,湖北,理工,48,320.2
东北师范大学,吉林,师范,49,319.7
哈尔滨工程大学,黑龙江,理工,50,319.0
西南交通大学,四川,理工,51,318.0
南京农业大学,江苏,农业,52,316.1
郑州大学,河南,综合,53,312.8
北京邮电大学,北京,理工,54,312.5
武汉理工大学,湖北,理工,55,312.2
中国海洋大学,山东,综合,56,311.0
暨南大学,广东,综合,57,307.4
中国石油大学（北京）,北京,理工,58,307.3
北京工业大学,北京,理工,59,306.0
河海大学,江苏,理工,60,303.4
中国矿业大学,江苏,理工,61,301.6
北京化工大学,北京,理工,62,296.7
中国地质大学（北京）,北京,理工,63,295.5
西北大学,陕西,综合,64,293.0
江南大学,江苏,综合,65,292.9
上海科技大学,上海,综合,66,288.7
中国石油大学（华东）,山东,理工,67,287.4
西南大学,重庆,综合,68,286.5
中国矿业大学（北京）,北京,理工,69,285.5
深圳大学,广东,综合,70,280.4
陕西师范大学,陕西,师范,71,280.1
江苏大学,江苏,综合,72,276.9
浙江工业大学,浙江,理工,73,275.6
北京林业大学,北京,林业,74,275.0
华南师范大学,广东,师范,75,274.7
西北农林科技大学,陕西,农业,76,273.7
扬州大学,江苏,综合,77,269.5
南昌大学,江西,综合,78,268.9
福州大学,福建,理工,79,267.7
华北电力大学,北京,理工,80,263.2
东华大学,上海,理工,81,262.8
合肥工业大学,安徽,理工,82,262.7
云南大学,云南,综合,83,262.1
宁波大学,浙江,综合,84,261.4
首都师范大学,北京,师范,85,261.1
湖南师范大学,湖南,师范,86,259.6
南京工业大学,江苏,理工,87,259.5
长安大学,陕西,理工,88,250.2
福建师范大学,福建,师范,89,248.2
